regard,"關心,注意,尊敬,尊重,致意,問候,關系,看待,當作,重視,尊敬,關系"
signal,"形容詞,作為信號的,顯著的,非凡的,動詞,發信號,打信號,名詞,信號,暗號,交通指示燈"
silent,"沈默的,安靜的,寂靜的,矜持的,緘默的"
simile,"明喻,使用到如或等字"
simper,"記源于,簡單的,天真的,天真的笑,有點兒傻,不自然的忸怩地,傻笑,類,傻笑對笑說傻話對說,痴笑,假笑,痴笑,假笑著說"
simple,"簡單的,普通的,樸素的,坦率的,糊塗的,絕對的,初級的"
simply,"簡單地,簡直,完全,僅僅,只不過"
single,"單一的,唯一的,單身的,未婚的,挑選,選出,選拔單程票"
sketch,"略圖,草圖,草稿,素描,人物速寫,傳略,畫草圖,草擬"
skewer,"烤肉用的,穿肉杆,用杆穿好"
skinny,"皮的,似皮的,極瘦的,少的"
sleepy,"想睡覺的,愛睏的"
sleigh,"動詞,駕雪橇,用雪橇運輸,名詞,輕便,雪橇"
slight,"輕蔑,怠慢,輕微的,纖細的,脆弱的,苗條的,輕視,忽略,怠慢"
sliver,"裂片,薄片,梳毛,縱切,切成長片,剖開,分裂"
sloppy,"被潑水弄濕的,泥濘的,多陰雨的,粗心的"
slouch,"沒精打采的樣子,耷拉,笨人,沒精打埰地走,耷拉著,使低垂"
slough,"泥沼,沼澤,蛻的皮,腐肉,使陷入泥沼,使沈淪,脫落"
slowly,"緩慢的,徐徐的"
sluice,"記,露,冰,打開水閘,泄洪,就會露出下面的,人工渠道,用于引水,用水閘控製水流,防洪閘門,水閘,泄洪,沖洗,水閘,泄水,開閘放水,流出,沖洗,奔瀉"
smarmy,"記讀死媽咪,媽咪被他的虛情假意所迷惑而死,虛情假意的,諂媚的,反,認真的,熱心的,令人厭煩的,愛說奉承話的,虛情假意的"
smooth,"平滑的,平坦的,平穩的,顧忱,弄平,使平滑,消除,排除,克服"
smudge,"記,死,泥巴,哥哥哥哥死在泥巴裡面,弄臟,污點,用臟痕,煤煙或墨水,弄臟,類,含糊的講話模糊的字跡,污跡,熏煙,弄臟,用濃煙熏,染污"
snatch,"搶奪,攫取,片段,奪取,攫取,想搶走,攫取"
sneaky,"偷偷摸摸的,鬼鬼祟祟的"
snitch,"記偷偷,別人東西的人就是,偷偷告密,偷,不值錢的東西,小偷,告密者,告密者,告發者,偷"
social,"社會的,社交的,群居的,社會福利的"
sodden,"記,草地,窩,獸穴,草地和獸穴都很濕潤,浸透了的,參,濕透的,讀騷,尿褲子了,濕透的,類,潮濕的過分是濕透的驚訝的過分是大吃一驚的,沼澤是濕的沙漠是干的,反,干燥的,浸透的"
soften,"動詞,使變柔軟,使變和藹"
soiled,"污染的,污渍"
solace,"安慰,安慰之物,安慰,撫慰,給與安慰,使輕松"
solder,"記源于,固體,固體的,堅固的,由,形成,士兵,自己的槍,焊接,連接,反,斷裂,違背,焊料,焊接"
sonata,"記,聲音,結尾是意大利語,與藝術有關,奏鳴曲,奏鳴曲,一種到四種樂器演奏的樂曲,由三個或四個樂章構成,類,甜點是正餐的結束收場白是戲劇的結束結束語是演講的結束樂,章結尾部是奏鳴曲的結束,音奏鳴曲"
soothe,"使,某人,其神經,其情緒,平靜,安慰,使,痛苦,疼痛,緩和或減輕"
sordid,"骯臟的,不幹淨的,卑鄙的,惡劣的,可憐的,暗淡的"
sorrow,"動詞,感到悲傷,懊悔,遺憾,名詞,悲痛,悲哀,悲傷,憂傷"
sounds,聽起來
source,"來源,引起,的東西,提供消息的人,源頭"
sparks,NotFoundAnyMeanings
speech,"言語,說話,說話方式,演說,講話"
speedy,"迅速的,快的"
spends,"花,錢,花費"
spines,NotFoundAnyMeanings
spirit,"精神,靈魂,神靈,幽靈,鬼怪,心情,情緒,氣概,勇氣,鼓舞,鼓勵,誘拐,帶走"
spleen,"記原指脾,承擔貯存血液,分解舊的血細胞,過濾血液中異物等功能,該器官一度被看作情緒的發源地,壞脾氣,讀死不吝,什么都不吝,壞脾氣,壞脾氣,參,脾氣壞的,反,善意,親切,脾"
splice,"接合,撚接,疊接,使結婚接合,疊接,結婚"
splint,"記把木頭,就產生,夾板,阻止斷骨結合處移動的固定裝置,碎木頭條,類,夾板防止動潤滑油防止摩擦壓艙物防止不穩定防滑支點防止滑動,夾板用來固定管道用來輸送,藤條,薄木條,薄金屬片,外科用的,夾板,用夾板來"
spoils,"複數型,戰利品"
spongy,"海綿似的,柔軟易吸水的,濕軟的"
sprain,"動詞,扭,扭傷,名詞,扭傷"
sprawl,"四肢伸開的躺臥姿勢,蔓生,四肢伸開地坐,或臥,爬行,蔓生,蔓延"
spread,"傳播,散佈,伸展,擴延的,伸展的,展開,鋪開,傳播,推廣,伸出,塗,敷"
spring,"春天,彈簧,跳躍,彈性,活力,泉,源泉,春天的,跳,彈跳,湧出,生長,裂開"
sprout,"發芽,抽芽,長出毛髮等,葉,毛髮等生長,這些種子大概要三天時間才會發芽"
spruce,"象聲詞,斯普盧斯雲杉,四季常綠樹,有針葉,球果,和通常用于紙槳的軟木,最大的特點是不用修剪就有整潔的外表,可以直接裝飾,衣著或外表,整潔漂亮的,云杉,整潔的"
squall,"記,壓,鎮壓所有人的東西,騷動,風暴,短暫的,騷動,短暫,突然且猛烈的,風暴,類,短暫的騷動是短暫暴亂閃光是短暫照明,暴風,暴風雪,嚎啕,狂風吹襲,嚎啕,哇哇地叫嚷,尖聲叫著"
squash,"壓碎的東西,南瓜,擁擠嘈雜的人群,壓扁,鎮壓,壓制,被壓扁,發濺潑聲"
squint,"記,壓,他把他的一支眼睛壓進去,斜視,斜視,表示不同意,在強光下,瞇著眼睛看,類,斜視用眼表示不同意噘嘴用嘴巴表示不同意,斜視"
stable,"馬房,牛棚,穩定的,安定的,堅固的,堅定的,趕入馬房,被關在馬廄"
stages,"階段,級"
stands,NotFoundAnyMeanings
stanza,"詩節,由兩行或更多行構成,有相同的節奏和行數,類,詩節構成詩民歌劇幕構成歌劇段落構成散文章節構成小說樂章構成交響樂詩節由幾行詩構成合訂本由幾本期刊構成"
staple,"主要產物,常用品,主要要素,原料,訂書釘,鉤環,主要的,重要的,分類"
stasis,"停止,靜止,記,音,停止"
stated,"決定了的,一定的,定期的,規定的"
statue,"雕像,塑像,鑄像"
status,"狀態,情形,地位,重要身分狀態"
steady,"穩定的,不動搖的,沈著的,穩固的,堅定的,可靠的,使穩定"
stench,"惡臭,臭氣,使,發惡臭"
sticky,"形容詞,黏的,塗有黏膠物質的,泥濘的"
stifle,"使窒息而死,抑止,聲音,憤怒等,反,煽動,養育,鼓勵"
stigma,"恥辱,壞名聲參,誣蔑,反,尊敬的標志"
stingy,"吝嗇的,小氣的類吝嗇鬼是吝嗇的孤獨者是孤獨的"
stitch,"動詞,縫,繡,編結,名詞,一針,縫合傷口的,針線,針法"
stocky,"矮胖的,健壯結實的"
stodgy,"記源于,油膩乏味的食物,一想到今天會死,感到生活是沉悶平庸的,沉悶平庸的,類,平庸的守舊的容易傷感的多愁善感的,同義,反,令人興奮激動的,油膩的,不易消化的,乏味的,暗淡的,塞滿的,平凡的,庸俗的,笨重的"
stolid,"無動于衷的,不易激動的,冷淡的反,能被激起的,易激動的"
storms,暴風雨
strait,"艱難的,苦惱的,窘迫的,地峽,海峽"
strand,"繩索之一股,繩,串,海濱,河岸,擱淺,使擱淺,使落後,使陷於困境,弄斷"
streak,"動詞,形成條紋,疾駛,閃現,名詞,條紋,斑紋,光線"
stream,"水流,小河,流出,趨勢,人潮,流出,流動,展開,流,湧,飄揚"
stress,"壓力,緊迫,強調,重音,重點,應力,加壓力於,著重,重讀"
strict,"嚴格的,嚴謹的,精確的,嚴厲的,完全的,絕對的"
stride,"動詞,邁大步走,跨越,名詞,闊步,步姿"
strife,"衝突,糾紛,爭吵"
strike,"打擊,攻擊,撞擊,擊中,發現,襲擊,使患上,使留下,印象打擊,攻擊,撞擊"
strive,"動詞,努力,苦幹,奮鬥,反抗,鬥爭"
stroke,"筆劃,打,中風,撫,摩,沖程,劃尾槳,撫,摩,劃短橫,劃去筆劃"
stroll,"漫步,閑逛,四處流浪,閑逛,漫步,跋涉于"
strong,"強壯的,堅固的,堅強的,強烈的,有力的,優良的,強勁地,有力地,猛烈地"
studio,"電影製片廠,畫室,攝影室,播音室,音樂室,工作室"
stuffy,"悶熱的,窒息的,乏味的,固步自封的,自以為是的"
stupid,"愚蠢的,呆笨的"
stupor,"昏迷,不醒人事類昏迷不會機警的失望不會有希望的"
sturdy,"強健的,堅定的,毫不含糊的,獸醫家畜暈倒病"
stylus,"記,我們是有風格的人,不能用普通的筆,要用,鐵筆,鐵筆,用來刻寫或雕刻用的細長的尖利的工具,類,鐵筆用來做記號燈用來照明,鐵筆用來雕刻盾用來保護,鐵筆"
submit,"使服從,使受到,委託,提出,認為,屈服,服從"
suborn,"記,下面,裝飾,在下面用錢裝飾你,賄賂,收買,賄賂,某人犯法或做壞事,唆使"
succor,"救援,援助者,救援人員,援助,救援"
sudden,"突然的,意外的,迅速的,快的,只用於習語,突然發生的事"
suffer,"受苦,受痛苦,受到,遭受,忍受,容忍"
sullen,"慍怒的,解,這種憤怒,溫溫的,不形於色,而是擺臭臉,不想說話也不想笑,記,濕冷的天氣讓人很微慍,殺人"
sultry,"天氣,空氣,悶熱的,女人,風騷的,能激起性欲的"
summit,"頂點,最高階層,政府首腦的,參加最高級會議的"
summon,"召喚,召集,號召,振奮,喚起,鼓起"
sunder,"記,劈開,劈死在下面,分裂,死,劈死在下面,分裂,分裂,分離,切開,參,分開的,類,坍塌因為內爆分開因為分裂,反,連結,連接,使聯合,結合,結合,切開,分離"
sundry,"記,太陽,干,太陽晒干各種東西,各式各樣的,各式各樣的"
superb,"宏偉的,華麗的,上乘的,一流的"
supine,"仰臥的,掌心向上的,懶散的,向后靠的"
supply,"補給,供給,供應品,補給,供給,提供,補充,代理,替代"
survey,"俯瞰,眺望,調查,審視,概括地觀察,測量,勘定俯視,概觀,調查,測量"
suture,"記讀速車,被速度很快的車撞上了,趕快到醫院縫合傷口,傷口的,縫線,縫合處,縫合,反,切割,切口,把,撕脫,醫縫合,縫合處,縫合用的線,縫合"
svelte,"記,使膨脹,她使她的某些部分膨脹,苗條的,女人,體態苗條的,反,圓胖的,豐滿的,胖而笨的,苗條的,體態嬌美的"
swerve,"轉向,彎曲,背離,突然轉向,轉彎,背離,使突然轉向,使轉彎,使背離"
symbol,"符號,象徵,代號,信條"
syntax,"句法,語法語法,有秩序的排列,句子構造"
syrupy,"糖漿的,似糖漿的"
system,"系統,體系,體制,制度,組織,裝置,方法,秩序"
tackle,"工具,復滑車,滑車,裝備,扭倒,固定,處理,抓住,扭倒"
tactic,"戰略,策略,順序的,排列的"
taking,"記能,走別人的魂,楚楚動人的,吸引人的,收益,用復數,營業收入,取得,捕獲,吸引人的,迷人的,可愛的,會傳染的"
tamper,"干預,玩弄,賄賂,損害,削弱,篡改,篡改,搗棒,夯,填塞者"
tangle,"纏結,糾纏,困惑,糾紛,混亂,使纏結,使糾纏,纏結,被糾纏"
tar--0,"動詞,塗焦油於,玷污,污辱,名詞,柏油,瀝青,水手"
tariff,"關稅,關稅表,價格表,收費表,課以關稅"
tastes,味覺
tauten,"拉緊,繃緊,反,解開,松開,松弛,放慢,拉緊"
tawdry,"華而不實的,外表俗麗而不值錢的,反,優美高雅的"
taxing,"用,稅金,壓力,來記,負擔沉重的,使人疲乏的"
teeter,"記讀替他,因為他總是憂郁,所以替換他,躊躇,蹣跚,反,穩定,步履蹣跚,搖搖欲墜"
tenant,"承租人,房客,不動產佔有人,居住者,租借"
tender,"嫩的,軟的,溫柔的,不成熟的,膽怯的,顧慮的看管者,法定貨幣"
terror,"恐怖,驚駭,恐怖的實例,令人恐怖的人或物"
tether,"用繩或鏈拴住,牲畜,拴牲畜的,繩或鏈,限度,範圍"
thatch,"記讀,吃,那個能吃的屋頂,茅草屋頂,茅草屋頂,頭上濃密生長的頭發,蓋屋的材料,茅草屋頂,濃密的頭發,用茅草覆蓋屋頂"
theory,"原理,理論,學說,意見,推測"
thesis,"論題,命題,論點論文,畢業,或學位,論文"
things,"事物,複數"
thirst,"渴求,可望,渴望,口渴"
thorns,荊棘
though,"雖然,盡管,即使,可是,不過,然而,可是,不過,然而"
thread,"線,絲,絲狀體,螺紋,頭緒,思路,穿線於,裝膠片於,通,通過,復美俚衣服"
threat,"威脅,恐嚇,造成威脅的事物"
thrift,"名詞,節儉,繁茂,互助儲蓄銀行"
thrill,"動詞,使興奮,使激動,使毛骨悚然,顫抖,名詞,興奮,顫抖,引起激動的事物"
thrive,"動詞,興旺,繁榮,茂盛生長"
throne,"名詞,王座,神座,君權,帝王"
throng,"群,人群,群集,眾多,擁擠的,忙的,群集,蜂擁,擠入,擠滿"
thrust,"插,戳,刺,猛推,口頭攻擊,推力,插入,猛推,刺,戳,突然提出,強加"
thwart,"阻撓,擊敗,的努力,計劃或野心,類反對就是阻撓治療就是治療反,使便利,教唆,支持,支撐,資助,幫助,煽動,養育,鼓勵,墊子,支持"
timber,"木材,木料,用木材建造"
timbre,"音質,音品,音色"
tinder,"記源于,木材,是一種,火種,用于引火的容易燃燒的物質,如干樹枝,易燃物,火絨"
tinker,"補鍋匠,打雜工,流浪者,乞丐,馬馬虎虎地修理,笨拙地修理,瞎擺弄"
tirade,"長篇的攻擊性憤怒演說,類,夸大言辭是夸大的攻擊性演說是批評的,攻擊性演說表達憤怒夸張法表示夸張,反,心平氣和的演說"
tissue,"薄的紗織品,薄紙,棉紙,組織,連篇"
topple,"推翻,顛覆,倒塌,搖搖欲墜"
torpid,"懶散的,無精打采的,反應慢的反,響應的,熱情的,熱心的"
torque,"轉力矩,項鏈,使,沿軸轉動"
totter,"記讀桃特兒,突然見到桃色的模特兒,搖搖欲墜,步伐蹣跚,搖搖欲墜,步伐蹣跚,蹣跚,踉蹌,動搖,搖搖欲墜,蹣跚的步子"
touchy,"因輕微的原因而,易發脾氣的,過于敏感的,參,動人的,令人同情的,觸摸人心的,試金石,標準,類,過分理想的和理想的過分敏感的和敏感的"
toupee,"記讀禿配,禿頭佩戴的東西,假發,男用假發,類,假牙是假的牙齒假發是假的發,男子假發"
toward,"介系詞,向,對"
trance,"記源于,入口,使神智恍惚,恍惚,一種被催眠的,昏厥的或心醉神迷的狀態,介于沉睡和清醒之間的半意識狀態,使出神,恍惚,出神,著迷,醫迷睡,使恍惚,使發呆"
travel,"旅行,遊歷,進行,旅行,行進,移動,被傳播,旅行,通行於,使移動"
treaty,"國與國之間的,條約,人與人之間的,協議"
trends,"海岸,河流等的走向"
tricks,招數
trifle,"小事,瑣事,瑣碎東西,少量,些許,玩弄,輕視,嘲笑,浪費"
tripod,"記,三,腳,三腳架,三腳桌,類,三腳架支撐照相機畫架支撐畫布,三腳桌,三腳架"
trival,"微不足道的,不重要的,瑣細的"
troops,"軍隊,部隊"
trophy,"戰利品,獎品,用戰利品裝飾,授予,獎品"
trowel,"記,完以后用,毛巾,擦擦汗,泥刀,用于平整,抹開水泥,泥鏟,移植泥刀,用泥鏟鏟,用泥鏟涂"
truant,"形容詞,逃學的,玩忽職守的,動詞,逃學,逃避責任,偷懶,名詞,逃學者,玩忽職守者"
trudge,"沈重的步伐,長途跋涉,沈重地走,蹣跚地走,跋涉"
trying,"中令人難受的,記不停地常識卻一直失敗是,令人難受的"
tumult,"吵鬧,騷動,擁擠,混亂"
turbid,"同,液體渾濁的,汙濁的,有幾種魚生活在這些渾濁的淺水域中"
turgid,"浮俊的,風格或語言過分考究的或過分複雜的,反,簡單的,簡朴的"
turned,翻轉
turret,"記讀塔,結尾表示,小,小塔,塔樓,小塔,類,城堡上有塔樓海洋上有燈塔,小塔,塔樓,炮塔"
tussle,"格斗,斗爭,爭斗,扭打,打斗,格斗"
tuxedo,"記源于塔克西多,的一家鄉村俱樂部,他們發明了,現在簡稱為,男士無尾半正式晚禮服,在正式或半正式場合穿著,男士無尾半正式晚禮服"
twinge,"記,扭,翅,翅膀被扭,劇痛,劇烈,突然的身體或精神上的,劇痛,一陣一陣痛,如刺一樣痛,劇痛,使一陣一陣痛,刺痛,感到劇痛,刺痛"
twists,NotFoundAnyMeanings
tycoon,"記源于日語,太君,有錢有勢的企業家,大亨,參,台風,也是外來語,企業界大亨,將軍"
tyrant,"暴君,專制君主,專橫的人"
ubborn,NotFoundAnyMeanings
uberat,NotFoundAnyMeanings
umpire,"動詞,仲裁,當裁判,名詞,仲裁人,棒球等的,裁判員"
unable,"無能力的,不能的,沒有,能,的"
unbend,"弄直,放鬆,變得隨便"
uneasy,"不自在的,心神不安的,不穩定的,不舒服的"
unfold,"展開,打開,顯露,開展,闡明,伸展,開花,呈現"
unique,"形容詞,獨特的,名詞,獨一無二的人,或事物"
united,"形容詞,聯合的,統一的,團結的"
unjust,"正義,不公平的,不公義的"
unlike,"形容詞,不同的,不相似的,介系詞,不像,和,不同"
unload,"動詞,卸貨,卸客,去掉,拋售"
unruly,"難駕馭的,任性的,不守規矩的"
unsure,"沒有自信的,不肯定的,不確定的"
untold,"未說過的,未透露的,數不清的"
untrue,"假的,沒有事實根據的"
unware,NotFoundAnyMeanings
uphold,"支撐,贊成,鼓勵,舉起,堅持"
uplift,"振作,振奮舉起,抬起使上升,使隆起,社會,道德等,發展,提高"
uproar,"騷亂,騷動,吵鬧,喧囂"
upward,"形容詞,向上的,升高的,副詞,向上,在上面,以上,超過"
urbane,"溫文爾雅的,文雅的類禮貌的人不粗魯誠實的人不狡詐謹慎的人謹慎文雅的人文雅反,粗魯的,鄉村的,有禮貌"
urgent,"形容詞,緊急的,急迫的"
useful,"形,有用的,有益處的,有用有,的,形容詞有用的"
utmost,"最遠的,極度的,最大的極限,最大限度"
utopia,"烏托邦,理想國,理想的完美境界"
vagary,"異想天開,反覆無常的行為,古怪的變化"
values,價值觀
vanish,"消失,消散,消滅,不見"
vanity,"虛榮心,虛無,自負,空虛,手袋"
varied,"不同的,雜色的,各式各樣的"
veiled,"面罩遮掩的,隱藏的"
vendor,"小販,賣主,自動售貨機"
veneer,"薄板,單板,膠合板,飾面,外表,虛飾,鑲飾,膠合,虛飾"
venial,"錯誤等,輕微的,可原諒的類可原諒的可以原諒易懂的可以懂"
verbal,"詞語的,言語的,口頭的,逐字的,動詞的,英口,口頭供述,口供,口角,爭吵,使招供"
verify,"校驗,查証,証實,檢驗"
vernal,"春天的,春天發生的,和煦的,青春的"
vertex,"三角形等的,頂角,頂點,天頂"
vessel,"船隻,容器,器皿,血管,導管"
viable,"可行的,能活下去的,記法有路可走的,可行的"
vilify,"誹謗,辱罵,貶低,輕視"
violet,"形容詞,紫色的,名詞,紫蘿蘭"
viscid,"粘的,液體粘質的參,粘質,粘性,反,光滑的"
vision,"視覺,先見之明,眼光,視力,幻想,夢見,想象,顯示"
volley,"群射,齊發,迸發,群射,齊發,截擊,進行群射,齊鳴"
