disperse--0,"分散,傳播,散開,分散,分散的"
gossamer--0,"完整的蛛絲,薄紗,軟的,薄的,透明的纖維品,虛無,輕而薄的,虛無漂緲的反,沉重的,笨重的,冗長的,物質,本質"
hallmark--0,"純度檢驗証明,品質証明,加蓋純度檢驗証明"
handwriting,"字跡,筆跡"
harangue--0,"尤指指責性的,長篇大論,夸張的話,向,夸大地講話,作,長篇,大聲,常帶斥責的講話"
hard-bitten,"記,咬,很難咬的頑強的,通過經歷而變得,不屈的,頑強的,參,強硬手段,硬紙板,反,嫩的,軟弱的,原指狠狠地咬,頑強的,堅韌不拔的,不屈服的"
hardhearted,心腸硬
hardworking,"努力工作的,勤勉的"
harpsichord,"記,豎琴,弦,大鍵琴,鋼琴的前身,大鍵琴"
heartedness,"仁慈,心腸軟"
hedonist--0,"記,他你的人對感官快感追求和熱愛的人,需要深刻了解的含義,享樂主義者,對感官快感追求和熱愛的人,參,快樂論只有令人快樂或帶來快樂結果的東西才是在本質上好的,快樂主義行動是追求享樂逃避痛苦為動機的,類,享樂主義者喜歡快樂隱士喜歡獨處,反,禁欲者,快樂主義者,享樂主義者"
heedless--0,"掉以輕心的,不注意的,對雨林的肆意破壞正在加速全球暖化的趨勢"
high-minded,"崇高的,高尚的"
hitherto--0,"到目前為止,迄今,至今"
homeostasis,"體內平衡,社會群體,自我平衡,記,血,組織,血在身體裡面組織起來,促成,體內平衡"
homogeneity,"同種,同質,同次性"
humiliation,"羞辱,蒙恥類災難是特別不幸羞辱是特別窘迫"
humility--0,"謙遜,謙卑類哀求者的特點是謙遜對手的特點是對抗反,驕傲,驕傲自大,虛飾,炫耀"
hypnotic--0,"記,有很高的不知道的狀態催眠的,催眠的,催眠藥,被催眠者,參,催眠狀態,反,有意識的,刺激物,令人鼓舞的,催眠的,易被催眠的,催眠藥"
hysteria--0,"歇斯底里症,不正常的興奮,病"
identity--0,"相同,身分,一致,特性,恆等式"
ideology--0,"名詞,思想體系,意識形態,空論"
ill-humored,"中壞脾氣的,記,反,幽默的,反幽默的壞脾氣的"
illusory--0,"虛幻的,幻覺的類大旋渦是洶涌的海市蜃樓是虛幻的"
imagination,"想象力,空想,妄想,想象出來的事物"
imaginative,"富有想像力的,有創意的"
imminent--0,"勢在必行的,迫在眉睫的,即將發生的,逼近的"
impartially,"公平地,无私地"
impassively,NotFoundAnyMeanings
imperfectly,"不完全地,有缺點地,不完備地"
imperial--0,"帝國的,帝王的,巨大的,令人驚歎的"
impermeable,"不容液體滲透的,液體透不過的"
impersonate,"記,扮演,裝扮,人,角色,欺騙性地,假裝,的性格或容貌,扮演,參,演員,模擬名人的藝人,模仿,扮演,人格化,擬人"
impetuously,"激烈地,性急地"
importation,"進口,輸入,進口貨,輸入品"
imposing--0,"壯觀的,氣勢宏偉的,莊嚴的"
impostor--0,"記,進入,放,表示人,把自己放入別人的角色的人,冒名頂替者,騙子,冒名頂替者,騙子,以假名或假身份欺騙的人,類,冒名頂替者追求身份篡位者追求權利野蠻人財產,冒名頂替者"
impotent--0,"無力量的,無能力的,當孩子生病卻甚麼忙也幫不上時,你會覺得自己是如此無能為力"
impractical,"形容詞,不切實際的,無用的,不現實的"
imprecation,"記,壞,祈禱,懇求,壞祈禱,詛咒,咒語,詛咒,祈求降禍于某人,參,抗議,藐視,祈求,詛咒"
impregnable,"記,易受攻擊的,抓,拿住,容易被抓住的,易受攻擊的,固若金湯的,不能被武力攻占的,論點等,無懈可擊的,可以受孕的,參,懷孕的,富有意義的,無法攻取的,要塞堅固的,不受影響的,可以受孕的的"
imprison--0,"使下獄,關閉,拘禁,限制"
improvident,"的相反,浪費的,但是,即興的"
impuissance,"記,權力,力量,影響,源于,能力,力量,讀溥儀三思,當年溥儀沒有權力,他再三思考的當然是權力,無力,虛弱,缺乏力量或效果,反,用拳打擊,力量,權力,無力,無能"
impulsively,衝動地
inadvertent,"不注意的,怠慢的,不慎的,非故意的"
inalienable,"權利等,不可剝奪的,不可讓與的,土地不可分割的類不可剝奪的不能被交出難以平息的不能被勸解"
incantation,"記,黑話,讀砍他,作為詞根,唱,達到進去砍他的效果,念咒語,咒語,產生魔力的效果,口頭禪,未經考慮或不恰當的且經常重複的習慣說話方式,類,護身符是一種物品咒語是一種話,咒語"
incarnadine,NotFoundAnyMeanings
inchoate--0,"未成熟的,起初的,開頭,用法,牛軛,把牛軛放到牛上,開始,耕田"
incisive--0,"敏銳的,機敏的,激烈的,切入的,鋒利的"
inclination,"愛好,癖好,意向傾向,趨向,趨勢傾斜,彎腰,曲身,點頭斜坡,斜面"
incompetent,"無能力的,無力的,不適當的,不勝任的無能力者"
incongruent,"不一致的,記,一致的,適合的,適合的,不和諧的,類,不和諧的不會使一致反抗的不會順從分散的不會重疊"
incongruity,"不一致,不協調,不相稱"
inconstancy,"記,堅定不移,恆久不變,始終,站立,始終站著,堅定不移,指人或情況,反複無常,善變,反,堅持,持續,穩定性,穩定,反復無常"
incorporate,"合併的,公司組織的,一體化的,合併,使組成公司,具體表現,合併,混合"
incredulity,"不輕信,不相信,懷疑,記,輕信"
incriminate,"連累,牽連,反,免除,証明無罪"
incubate--0,"抱,孵,培養,使發展,孵蛋,築巢,孵化,醞釀成熟"
independent,"獨立的,自治的,自主的,單獨的,分開的,無黨派的,獨立自主的人"
indigent--0,"貧窮的,缺衣少食的,缺乏的,區,是以,結尾,表示多,不可能是,的意思,類,窮困的不是富有多余的不是不可缺少,反,富裕的,豐富的"
indigestion,"消化不良,不瞭解"
indignation,"名詞,憤怒,憤慨,義憤"
indirect--0,"間接的,次要的,欺騙的,迂迴的,曲折的"
individuals,"指與眾不同或特别的,人"
indolent--0,"習慣性懶惰的參,哀悼,吊唁,類正直不犯罪懶惰不勤奮鋒利不鈍的"
indubitable,"可疑的,無庸置疑的,可疑的"
ineffective,"記,有效的,效果,作,不起作用的,不能達到預期效果的,參,無效力的,無用的,作,無效的,指人,工作效率低的"
ineffectual,"无效的,不起作用的,徒劳无益的,无用的人,无一技之长者"
ineluctable,"無法改變的,逃避,例,命運"
inexpensive,"形容詞,花費不多的,價錢低廉的"
infatuation,"記,昏頭昏腦的,入迷的,愚昧的,胖人給人一種愚蠢的感覺,愚蠢的,非理性的或過分的,迷戀,令人痴迷之物,類,休假的給人假期討人歡喜的使人迷戀,反,憎惡,厭惡,愚蠢,糊涂,醉心"
inferiority,"粗劣,差勁,低層的,劣化"
infinite--0,"無限的,無窮的,無數的,極多的,非限定的,無窮的無限物,無窮"
influential,"有影響的,有權勢的,有影響力的人物"
information,"資訊,起訴資訊,消息,知識,報告,通知,情報"
informed--0,"見多識廣的,消息靈通的"
ingredients,"配料,成份"
inheritance,"名繼承,繼承權,繼承物,遺產"
inhumane--0,"記,仁慈的,不人道的,沒有同情或憐憫的,殘忍的"
inimical--0,"敵意的,源,的反義是,解,從,加,否定而來來,無法模仿的,字形相像,不要混淆,無法模仿的,是一正面字,表示太獨特,以至於無人能比"
injudicious,"不明智的,缺乏判斷力的,不明智的言論"
injuriously,NotFoundAnyMeanings
innovations,"創新,發明"
inoffensive,"記,討厭的,攻擊性的,不冒犯人的,無害的,不反感的,無害的,不傷人的,不觸犯人的,讓人不討厭的"
inoperative,無法運作的
inscrutable,"神秘難懂的,無法得知的,理解,不理解,難懂,神秘的"
insecticide,"記,卑鄙的人,昆虫,殺一殺虫劑,殺虫劑,參,自殺,殺虫劑"
insensitive,"麻木不仁的,對他人的感情缺乏敏感性,麻木的,類,易上當者是輕信的魯鈍的人是遲鈍的頑童是頑皮的,對,沒有感覺的,感覺遲鈍的"
insincerely,NotFoundAnyMeanings
insincerity,"偽善,無誠意,不誠實"
insolent--0,"粗魯無禮的,傲慢的,記法習慣不習慣禮節顯得出魯傲慢"
insomnia--0,"記,不,睡覺,病症,不睡的病,失眠症,失眠症,失眠,參,催眠的,催眠的,想睡的,類,失眠症無法睡眠閱讀障礙症無法閱讀,失眠,失眠症"
inspiration,"通過思考而得的,靈感,人的心靈受刺激而達到更高層次情感的東西,如突然的創造性行為或想法,參,期滿,斷氣,渴望,熱望,得到靈感的"
inspired--0,"受到啟發的,有靈感的"
institution,"公共機構,協會,制度"
instruction,"指示,用法說明,書,教育,指導,指令"
intelligent,"聰明的,伶俐的,有才智的"
intemperate,"在飲酒方面,無節製的,放縱的反,平靜的,拘泥的,受約束的"
intentional,"記,意圖,目的,意向,想要,打算,有意圖的,故意的,反,不注意的,無意中做的,有意圖的,故意的"
interaction,"互動,互相影響"
intercessor,"記原指為他人向上帝祈禱或祈求,源于,為別人說好話,求情,調停,中間,走,在兩人之間走一為別人求情,仲裁者,調停人,類,仲裁者仲裁預言家預言翻譯家翻譯,仲裁者,調解人"
interesting,"有趣的,引起興趣的"
interlacing,NotFoundAnyMeanings
intermingle,"記,使混合,讀民工,混合了各地的人,使混合,使攙和,混合"
internecine,"互相殘殺的,兩敗俱傷的,內部沖突的"
interpolate,"記,中間,磨光,修飾,在中間修飾,竄改,破,使課本中間變得破,不好,竄改,通過插入新的或不正當的材料,竄改,插入,如在課本中添加材料,插話,參,插入,插話,干涉,放,參,姿勢,竄改,添寫進去,插入新語句"
interrogate,"詢問,審訊,記法,互相,詢問審問"
intersperse,"記,中間,散布,在中間散布,點綴,點綴,散置,于物體的間隙中使之多樣化,散布,點綴"
intoxicates,NotFoundAnyMeanings
intrepid--0,"堅定勇敢無畏的類優雅的不粗俗勇敢的不害怕無畏的不會被阻止全神貫注的不會被分心反,膽小的,膽怯的,憂慮不安的"
intrigue--0,"陰謀,復雜的事,密謀,私通,激起,的興趣,用詭計取得"
introducing,"介紹,引介"
intuitively,"直覺地,直觀地,由直覺而得地"
inveigle--0,"誘騙,通過勸誘,討好欺詐,類用陰謀使人感興趣是誘騙用陰謀計劃是密謀反,直接要求,公開說服"
investigate,"調查,調查研究,調查,調查研究"
investiture,"記,進入,背心,車,穿上官服,配上大奔,授權儀式,宗教,任職儀式,授,高官之,權儀式,區,投資,授職,授權,覆蓋物"
involuntary,"記,自愿的,故意的,志愿的,非有意的,不自覺的,不受意志力控製的,自然而然的,無意的,不知不覺的,偶然的,不隨意的"
involved--0,"複雜難懂的,與他人有密切關係的"
irradicable,"無法根除的,類,不能說的不能描述不能根除的不能刪除,無可救藥的不能改正不能根除的不能移動,不能根除的,根深蒂固的"
irreducible,"記,減少,簡化,不能簡化的,無法縮減為更簡單,或更小的形式或數量的,反,能分解成因子的,不能復歸的,不能削減的,數不可約分的"
irregularly,"不規則的,不規律的,不穩定的"
jettison--0,"丟棄,一些不想要或是累贅的東西,拋棄的貨物反,保持"
judiciously,"有見識地,明智地"
justifiable,"可辯解的,有道理的,可證明為正當的"
juvenile--0,"少年,少年讀物,少年的,不成熟的,適于少年的"
laboriously,"艱苦地,費力地,辛勤地"
lambaste--0,"痛打,痛罵反,贊美,灌溉,修水利,沖洗傷口,使潮濕,進行灌溉"
lamentation,"門外漢,只能負責哀悼,無法像神父一樣舉行儀式,哀悼"
languish--0,"衰弱,萎靡不振,記懶鬼,無精打采的"
latitude--0,"緯度,範圍,言語,行動等的迴旋餘地,自由"
legerdemain,"手法,巧妙的詭計或騙術,字源,法文手之光,手的靈巧,例句,減少赤字的部分原因是由於金融騙術,掩蓋了真正的政府的運行成本,同義"
legislation,"名詞,立法,法規"
legislative,"立法的,有立法權的,立法機構的立法權,立法機構"
leniency--0,"寬大,深情,慈悲為懷"
levelheaded,"頭腦冷靜的,清醒的,反,愚蠢的,頭腦冷靜的,清醒的,穩健的"
linguistics,"記,語言,學科,語言學,語言學,參,能說兩種語言的,語言的,語言學"
lionization,"捧,某人,為名,參觀,名勝,引,某人,參觀名勝"
literate--0,"學者,有文化的,有閱讀和寫作能力的"
luminary--0,"發光體,權威者,著名的知識分子"
machination,"陰謀,圖謀,策劃"
magnanimity,"寬大,雅量,高尚,重大,巨大"
magnificent,"形容詞,壯麗的,宏偉的"
maintain--0,"維修,保養,維持,保持,堅持,主張,供養,扶養"
maintenance,"維護,保持,維修,生活費用,堅持,扶養,瞻養義務"
malapropism,"詞語誤用,用詞錯誤可笑"
malfunction,"故障,失靈,發生故障,不起作用"
malinger--0,"裝病以逃避責任或工作參,裝病逃避工作的人,營養失調,有惡臭的,虐待,濫用,玩忽職守,類"
malpractice,"不當治療,失態,瀆職"
maneuver--0,"演習,調遣,策略,調遣,演習,用計"
manifest--0,"載貨單,運貨單,旅客名單,顯然的,明白的,顯示,出現,表明,表現"
mannered--0,"矫揉造作的,守规矩的"
marginal--0,"頁邊的,邊緣的,不重要的"
materialism,"物質主義,重物質享受,輕精神生活"
matriculate,"准許入學,錄取,入學,進大學獲准入學者"
maverick--0,"特立獨行者,不同見解者,不守常規者,與眾不同,小牛,飛彈"
meaningless,"無意義的,無目的的"
measured--0,"量過的,慎重的,基於標準的"
measurement,"度量,尺寸,大小,長度,測量"
mediocre--0,"不好不壞的,通常,平凡的"
meditate--0,"想,考慮,計劃,沈思,反省"
mellifluous,"音樂等,甜蜜流暢的,類,悅耳的音樂美味的食品美味的味道,反,發音不和諧的,刺耳的"
menacing--0,"威脅的,威嚇的,構成威脅的,威脅的眼神手勢"
mercilessly,"無情地,殘忍地"
meritorious,"有功績的,有價值的,值得稱讚的"
merrymaking,狂歡
metaphor--0,"隱喻,記法,變化,帶來,帶來"
metaphysics,"形而上學,玄學,純粹哲學,宇宙哲學"
meteorology,"氣象學,氣象狀態"
microscopic,"只能從顯微鏡裡看到的,微小的"
minatory--0,"威脅的,威脅,例,軍備競賽,強權,解,從動詞,來來,形容詞"
misbehaving,"調皮的,行為不端的"
misbehavior,"不良品行,不規"
mischievous,"淘氣的,有害的,惡作劇的,胡攪的"
misdemeanor,"輕罪參,誤導,寫錯地址,類輕罪比罪行輕微失誤比錯誤輕微決定比許諾輕微"
misnomer--0,"人名誤載,寫錯名字,記法,錯誤,名稱"
misperceive,誤解
mitigate--0,"使緩和,減輕,小,輕"
moderate--0,"適度的,穩健的,中等的,節制的,節制,使穩定,使緩和,變緩和"
modulate--0,"調整,使轉調,調制,轉調,調制"
mollycoddle,"同,嬌養,縱容,寵壞,你嬌慣孩子對他們沒好處他們總會長大的"
monarchy--0,"君主政體,君主制,君主政體在現代社會仍有意義還是該被廢除"
moribund--0,"即將結束的,垂死的,記法,死亡"
mortuary--0,"停屍間,太平間,喪葬的,死的,埋葬的"
motivations,NotFoundAnyMeanings
mountainous,"多山的,有山的,多山的地區"
munificence,"慷慨,寬宏大量,記,公共,大方,做,大方地做慷慨"
nationalism,"國家主義,愛國心,民族主義"
negotiation,"名詞,談判,協商"
neophyte--0,"初學者,新教徒,剛信仰一種宗教的人,參,新石器時代的,新語,出生不滿一個月的新嬰兒,類沒有經驗是新手的特點不負責任是敗家子的特點"
nepotism--0,"用人唯親,裙帶關係,源,為了掩蓋醜聞,中世紀教宗,一律把私生子,稱做自己的姪,子"
nervousness,"神經質,焦急"
nonchalance,"漠不關心,記,不,卡路里熱,沒有任何卡路里,代表沒有熱度,對人,漠不關心"
nonetheless,"副詞,但是,仍然"
nonexistent,不存在的
nonsensical,"記,沒有,感覺,沒有感覺的話,荒唐的,說話荒唐無意義的,參,不威脅的,不用語言的,無法生活的,是生命的詞根,類,荒唐的胡說夸張的夸口,無意義的,荒謬的"
nonstandard,不標準的
nourishment,"食物,營養品,養育,滋養"
numerous--0,"很多的,數目眾多的,多數的"
numismatist,"記,數字,錢,媽,把錢當成媽媽的人,錢幣收藏家,錢幣獎章收藏家,參,根據出生日期占卜的數字命理學,眾多的,類,集郵家收藏郵票錢幣家收藏錢幣,錢幣獎章收藏家"
obdurate--0,"冷酷無情的,頑固的,執拗的"
objurgation,"痛斥,責難,責難,譴責,字源,相反,對著,爭吵,和你對立爭吵,譴責,例句,我們強烈譴責發生於非洲某些地區的種族屠殺,同義"
observation,"觀察,觀測,瞭望,監視,注意"
observatory,"記,觀察,地方,觀察星星的地方,天文台,天文台,類,音樂學院研究音樂神學院研究神學天文台研究天文學,天文台,氣象台"
obsessively,"妄想地,執念地"
obsolete--0,"荒廢的,成廢物的,陳舊的廢詞,陳腐的人,廢物"
obstinately,"頑固地,倔強地"
obstruct--0,"阻塞,用障礙物將道路堵塞,阻礙反,使容易,教唆,空的,堵塞的,參,阻撓,障礙,妨礙者"
obstruction,"障礙物,阻礙物,阻礙,阻撓"
obstructive,"妨害的,阻礙的,妨礙的妨礙物,妨礙物"
obtained--0,"得到,獲得"
offensively,"不愉快,討厭地"
omnipresent,"無所不在的,全知的,全知"
omniscience,無所不知
opalescence,"不透明的,乳白光"
open-minded,"記,開,思想,思想開明的,思想開明的,虛心接受新事物,新觀念和其它人意見的,虛心的,思想開明的"
opinionated,"堅持己見的,頑固的"
opportunity,"機會,機遇,湊巧,方便"
optional--0,"形容詞,隨意的,非必須的"
oracular--0,"神諭似的,天書般的,晦澀難懂的,晦澀難懂的話"
originality,"創造力,獨創性,創見,創舉"
originating,發信
ornament--0,"動詞,裝飾,美化,名詞,裝飾品,裝飾"
ornithology,"記,或許,你,死,或許你會死的學科,鳥類學,因為很多鳥都具備進攻性,鳥類學,類,鳥類學研究鷹天文學研究行星,鳥類學,鳥學論文"
orthodox--0,"正統的,傳統的,習俗的,通常的,記法,正,思想"
oscillation,"振動,動搖,變動,彷徨"
ostentation,"虛飾,虛有其表,賣弄"
outmaneuver,"記讀,味兒,男人把鞋脫了往外放味兒,以策略製勝,以策略製勝,在機智,謀略上勝過對手,反,屈服,屈從,以策略制勝,以機動性勝過"
outmoded--0,"过时的,不流行的,使过时,的过去式和过去分词"
outstrip--0,"比,跑,或游,划等,得快,超過,勝過"
overflowing,"溢流,漫溢,過流"
override--0,"否決,不顧,使無效,類,踩踏,無視"
overweening,"記,過分,以為,一過分以為自己了不起,自負的,自負傲慢的,過于自信的,參,淹沒,製服,壓倒性的,驕傲的,自負的,夸大了的"
overwrought,"過度煩亂的,過度緊張的,過度焦慮的,神經質的,她太累太緊張,突然大哭起來"
painstaking,"不辞劳苦的,辛苦的,煞费苦心的,苦干的,辛勤的,小心的,苦干,刻苦,勤勉,辛苦,煞费苦心"
palpable--0,"可觸知的,可摸到的,極其明瞭的,類,反,難以嘬摸的,微妙的"
palpitation,有節奏的舒張收縮
pandemonium,"喧囂,大混亂,全部,人民"
paradigm--0,"完美典型,典範,可當模範的東西"
parallel--0,"形容詞,平行的,同方向的,動詞,與,平行,比得上,名詞,平行線,平行面"
parallelism,"平行,對應,類似"
paranoid--0,"多疑的,對他人極端恐懼和懷疑的"
parenthesis,"記,旁邊,放置,放在旁邊解釋的話,要用括號,父母,論文,父母的論文裡面,很多,拼怕人,論文,論文中怕人的部分躲在,中,插入話,括弧,用于標出解釋文字,插入語,附帶,插曲,圓括號"
partisan--0,"黨羽,同黨的人,遊擊隊員,黨徒的,效忠的,獻身的,盲目推崇的"
pastiche--0,"記,過去,車過去的老爺車已經不多了,現在看到的都是模仿製品,混合拼湊的作品,公開地模仿其它藝術家的作品且常帶有諷刺意圖的戲劇,文學或音樂作品,參,消遣,娛樂,反,原作,混成曲,模仿畫"
patronizing,"屈尊俯就的,自以為高人一等的,我受不了的正是她那屈尊俯就的語氣"
