an,"冠詞,一個,一種"
fit,"適合,配合,合身,安裝,裝置,適合,符合,配合,適合的,恰當的,健康的"
fix,"使固定,修理,准備,安裝,凝視,牢記,確定,整理,固定,注視,確定困境"
for,"介系詞,為,做的,給,連接詞,因為,由於"
fro,"來回地,往返地"
fun,"樂趣,玩笑,娛樂,開玩笑,供娛樂用的"
gap,"間距通用匯編程式縫隙,缺口,間斷,打開缺口,造成縫隙,豁開"
gas,"放出氣體,加油,空談,吹牛"
gem,"寶石,珍品,受到寵愛或評價很高的人,參,稍次一些的經雕琢的寶石,類,綠松石是種寶石紫羅蘭是一種花,寶石,珍寶,精華,被喜愛的人,美玉"
ger,NotFoundAnyMeanings
get,"得到,獲得,變成,使得,收獲,接通,抓住,染上,到達,成為,變得生殖"
god,"上帝,神,被極度崇拜的人或物"
gre,NotFoundAnyMeanings
gum,"樹膠,橡皮,橡皮糖,牙床,上帝,塗以樹膠,使有粘性,分泌樹膠,發粘"
guy,"傢夥,人,怪人,夥計,逃走,逃亡,嘲弄,嘲笑,挖苦"
has,"有,的第三人稱單數現在式"
hat,"帽子,禮帽,紅衣主教帽"
hem,"褶邊,一塊布的邊緣,是加工好的邊,用于衣服或窗帘之上,把下部的余邊折好用線縫起來,包圍,類,摺邊裝飾衣服邊褶邊裝飾襯衫邊裝飾線裝飾壁櫥邊,邊,緣,摺邊,給,縫邊,包圍"
her,"代名詞,受格,她,所有格,她的"
hie,"記源于,的趕馬車的聲音,催促快走,例,他趕緊去郵局,反,游手好閑,混日子,兜兜,催促"
his,"代名詞,所有格,他的,他的,東西"
hoe,NotFoundAnyMeanings
hot,"熱的,熱心的,辣的,熱情的,激動的,猛烈的,緊迫的,熱,緊迫地"
how,"以,何種,方式,數量,程度,多少"
hub,"轂,木片,中心,中繼站,在中,它負責為,及,進行傳送"
hue,"色調,樣子,顏色,色彩,叫聲,大聲叫喊,大聲反對"
icy,"冰的,冰冷的,冷淡的,滑溜的"
ill,"形容詞,生病的,名詞,不幸,禍害"
ime,NotFoundAnyMeanings
imp,"記,進入,頑童,有點兒粗俗,自己想,頑童,有點兒粗俗,自己想,小鬼,頑童,淘氣的孩子,類,粗人是遲鈍的頑童是淘氣的,小鬼,小淘氣,頑童,加強,補充,裝翅膀"
inf,感染科
ing,"構成動詞現在分詞,如,我在寫"
int,"取整,執行中斷例行副程式"
ion,離子離子的
irk,"令人煩惱的事物,使煩惱,使厭倦"
its,"代名詞,所有格,它的"
ive,字尾形容詞
job,"工作,零活,職業,事情,做零工,打雜,做股票經紀,假公濟私,代客買賣"
jog,"轻推,轻撞,漫步,轻推,使,蹒跚行进,使,慢跑"
jot,"少量,少額,稍許,略記,摘要記載下來,草草地記下"
joy,"歡喜,樂事,高興,使快樂,令人高興,歡喜"
ken,"名詞視野,眼界,知識範圍,理解範圍"
kin,"親戚,同族,血緣關系,家族,有親屬關系的,性質類似的,同類的"
lag,"落后,囚犯,遲延,桶板,防護套,最后的,緩緩而行,滯后,落后于,押往監獄,加上外套"
lap,"腰以下及大腿的前面部分,山坳,一圈,一段行程,掌管,掌握,被包住"
law,"法律,法令,法律,法則,規律,定律,法學,法律知識,司法界,律師行業,訴訟"
lay,"放,擱,下,鋪設,敷設,砌,把,壓平,使倒下,使處於某種狀態,鋪,塗,佈置"
led,"的過去式和過去分詞,領導"
let,"讓,假設,出租,排放,妨礙,出租,被承包出租屋,障礙"
lie,"說謊,造成錯覺,欺騙,用謊騙使得,謊騙,用謊言毀損謊話,謊言"
log,"航行日志,原木,園形木材,園木,把,記入航行日志,伐木,把,鋸成段"
lot,"運氣,簽,抽簽,份額,許多,一堆,劃分,抽簽,抓鬮"
low,"低,低的,淺的,低劣的,低級的,少的,低下的,不足的,營養差的,體質弱的"
lug,"拖,拉一拖,一拉,耳朵,耳狀物,裝腔作勢,勒索"
mad,"瘋狂的,發瘋的,生氣的,愚蠢的,狂歡的狂怒"
map,"地圖,圖,繪制,的地圖,在地圖上表示出,制定,計劃"
mar,"動詞,毀損,損傷,玷污"
men,"男人,複數"
met,的過去式和過去分詞
mix,"混合物,混亂,糊塗,使混合,弄混,使結合,混淆,相混合,交往,參與"
mot,移動
nag,"動詞,使煩惱,糾纏不休,不斷嘮叨,名詞,好嘮叨的人"
net,"網,網狀物,羅網,淨利,實價,淨餘的,純粹的,用網捕,撒網,淨賺,網區,指在網中,對各站所在位置及其職責所編定的一個名稱"
new,"新的,新式的,新鮮的,新奇的,陌生的,生疏的"
nib,鋼筆尖
nil,"記,你,你被一把,劍戳死了,零,零,根,本身就是詞根,無,類,零沒有數量真空沒有物質,零"
nip,"捏,夾,寒冷等,刺骨,小飲,捏,夾,凍傷,剪斷,阻止,夾,捏,刺骨,小飲,口語,急忙"
nor,"也沒有,也不"
not,"不,非,並非,沒有"
oaf,糊塗人
oak,"橡樹,櫟樹,櫟木,櫟木家具,木船"
odd,"奇數的,單數的,單只的,不成對的,臨時的,不固定的,帶零頭的,餘的,奇特的"
ode,"記讀,特別老的詩歌,長詩,長詩,頌歌,具有莊重或思考的性質,風格嚴肅和有正式的詩節結構,類,和音是一種音調長詩是一種詩諷刺模仿品是一種拙劣模仿,頌詩,賦"
off,"離開,斷掉的,關上的,脫離的,中斷的,免除責任的,休假的"
oil,"油,石油,油畫顏料,塗油于,使融化,加油於,加燃油,融化"
old,"以前,往昔,老的,舊的,古老的,年長的,老練的"
one,"形容詞,一個的,名詞,一,一個人,一件事物"
ore,"名詞,礦,礦石,礦砂"
our,"代名詞,我們的,所有格"
out,"在外,向外,外出,不在家,離開的,外面的,在野的,完全的,徹底的,用完的"
owl,"記擬聲詞,是貓頭鷹的叫聲,貓頭鷹,夜間出來捕食的鳥,有柔軟的羽毛可以在夜間無聲的飛行,慣于晚上活動的人,區,尖鑽,貓頭鷹的眼睛很圓,所以以,開頭,動貓頭鷹,梟,慣于晚上活動的人,的類庫"
own,"自己的,自己的,嫡親的,同胞的,擁有,自認,承認,承認"
pan,"平鍋,淺盤,盆地,硬土層,拍攝全景,上下左右移動,搖鏡頭,淘洗,淘金"
pay,"薪資,付款,補償,支付,付清,補償,償還,塗油以防水,付款,償還"
pen,"鋼筆,筆尖,筆力,筆調,圍欄,羊欄,監獄,把,關進欄內,監禁"
pep,"銳氣,活力,給,打氣,鼓勵,激勵"
per,"每,每一,根據,按照,由,經,以,靠"
pet,"寵物,受寵愛的人,不悅,生氣,寵愛的,親昵的,寵愛,擁抱,愛撫,生氣"
pod,"密集小群,扁豆層,豆莢,蠶繭,結莢,生莢"
pry,"刺探,過分偷偷摸摸的好奇地看或打聽,類強求是拼命要求刺探是拼命詢問暗中合作是偷偷合作窺探是偷偷注視愛打聽的是過分好奇的過分妝飾的是過分華麗的,巡游"
pun,"雙關語,俏皮話,押韻,說雙關語,說俏皮話,用雙關語說服,搗結實"
put,"放,擺,投擲"
quo,NotFoundAnyMeanings
rag,"碎布,抹布,碎片,碎屑,少量,破舊衣服,石板瓦,揶揄,戲弄,欺負,喧鬧"
ram,"斜面,坡道,敲詐,狂跳亂撞,亂沖,敲詐,蔓延,使有斜面,敲詐"
red,"紅色,紅顏料,赤字,紅的,紅色的,紅腫的,血腥的"
rib,"動詞,裝肋於,嘲弄,名詞,肋骨,排骨"
rid,"動詞,使免除,使擺脫,從,清除,使免除,使擺脫,從,清除,的過去式及過去分詞"
rig,"為達到預期目的而,營私舞弊類競賽舞弊選區不正當操作,辱罵,斥責"
roe,"獐,魚子,魚卵"
rom,唯讀記憶體英文簡稱
rub,"摩擦,困難,障礙,難點,磨損處,擦,搓,摩擦,惹怒,摩擦,擦破"
rue,"懊悔,后悔,芸香,后悔,懊悔,悲伤"
run,"運行,跑,賽跑,奔跑,路程,趨向,類型,流動,運轉,連續,跑,奔,逃跑,跑步,賽跑"
sad,"悲哀的,悲痛的,憂愁的"
sap,"樹液,體液,活力,坑道,笨蛋,使排出體液,使衰竭,挖坑道襲擊"
say,"說,講,比方說,譬如,大約要說的話,發言權"
see,"看見,查看,遇見,參觀,遊覽,理解,知道,同意,經歷,看,觀看,注意,知道"
set,"設置,樹立,確立,確定,固定一盤,佈景,舞臺裝置,一套,一副,一批,一系列,機器"
sex,"性別,男性或女性,性欲,區別,的性別,引起,的性欲"
shy,"驚跳,驚避,膽怯的,畏縮的,懷疑的,羞怯的,驚跳,亂投,亂擲,厭惡"
sin,NotFoundAnyMeanings
sip,"動詞,啜飲,名詞,一小口"
sly,"狡猾的,詭密的,淘氣的,偷偷摸摸的"
sod,"草地,草坪,故鄉,鋪上草地,以草坪覆蓋,英俚貶討厭的傢夥,傢夥"
sop,"記源于,吸吮,浸泡濕潤,安慰劑,比如在水中浸泡過的面包片據說有安慰作用,浸泡,參,渾身濕透的,類,安慰劑是用來撫慰的撫恤金是用來支持的,渾身濕透的是潮濕過分寒冷的是冷過分,面包片,浸"
sow,"動詞,播,種,名詞,母豬,牝豬"
sun,"太陽,日,日光,陽光,曬,曬太陽"
tag,"標記,標簽,附屬物,名稱,碎片,結束語,口頭禪,陳詞濫調,附加語,渾名,殘片,標簽,文件中的代碼名稱,如"
tan,"鞣制革,黃褐色,馬戲團,黃褐色的,鞣皮的,曬黑,制革,鞣,把,曬黑"
tax,"稅,稅款,重負,壓力,會費,課以稅,使負重荷,斥責"
the,"這個,那個,這些,那些,越,更"
too,"也,亦,又,而且,太,過分,很,非常"
top,"頂端,最高的,最佳的,最優的,達到,的頂部,高達,高於,勝過,頂,頂部"
toy,"玩具,小玩意兒,遊戲,消遣,供玩耍的,作為玩具的,玩弄,戲弄,調情"
try,"嘗試,試驗,審理,審判,試,嘗試,試驗,考驗,審問,提煉,嘗試,試圖"
two,"二,兩個,二的,兩個的"
use,"使用,習慣,價值,用法,使用權,使用,利用,運用,耗費,慣常"
ved,NotFoundAnyMeanings
vex,"因為小事,使煩惱反,安慰,使平靜,平息,使平靜,安撫,平息,冗長"
via,"藉由,藉助於,經過,通過"
vie,"為勝利或者優勢而,競爭參,競爭的,的現在分詞,使煩惱,惱怒"
vim,"精力,活力,反,疲乏"
vit,NotFoundAnyMeanings
wag,"詼諧幽默者參,愛開玩笑的,類愛說笑的人幽默傻瓜笨放蕩者放蕩小丑滑稽"
wan,"蒼白的,無血色的,病態的,暗淡的,使,變蒼白廣域網,的縮寫,它不同於局域網絡,它以長距離連結為主"
was,NotFoundAnyMeanings
wax,"蠟,蠟狀物,震怒,增加,月亮由虧轉盈,變大,增大,月亮漸滿,上蠟於"
way,"路,路線,路途,方法,道路,方向,情形,規模,習慣,行業,方面,非常"
wet,"濕氣,潮濕,水分,雨天,液體,濕的,潮的,搞錯的,下雨的"
who,"用作疑問代名詞,誰,什麼人"
win,"贏得,打勝,成功,獲勝,達到,影響勝利,贏,收益"
wit,"機智,機警,智力,頭腦,理智,妙語,機智的人,知道"
woe,"悲痛,不幸參,悲傷的"
woo,"向,求愛,追求,懇求,求愛,懇求"
wry,"扭曲的,諷刺性幽默的類流利的油腔滑調的幽默的諷刺性幽默的,褒貶,過分注重細節的過分注重細節的反,直接的,堅定不移的,平滑的,真實的,徑直的"
able,"有能力的,能幹的,能夠的,可以的"
abut,"與連用,接界,毗連,與,連用,緊靠著,緊挨著例,與另一塊地相鄰,他的房子緊靠教堂"
acid,"形容詞,酸性的,有酸味的,名詞,化學,酸"
acme,"最高點,解,中的,表,尖,字形相似,為,粉刺,臉上尖的東西"
acts,使徒行傳
agog,"記,讀我高歌,因為太興奮了,太激動了,作為詞根,引導,如,煽動政治家,去蹦的吧有強烈興趣的,興奮的,有強烈興趣的,充滿熱切期望的或激動的,例,大家都急於知道發生了什麼,興奮的,熱切的,熱切地,渴望"
ails,NotFoundAnyMeanings
ally,"動詞,使結盟,使聯姻,名詞,同盟國,同盟者"
also,"也,同樣,而且,還"
anot,NotFoundAnyMeanings
apex,"最高點,頂點,舌尖例,她紅運到頂"
arch,"拱門,弓形,腳弓,成弓形彎曲,拱起,成弓形,主要的,狡猾的"
area,"區域,範圍,面積,地區"
aria,"記讀啊,表示病整天啊的病獨唱曲,有器樂伴奏的,獨唱曲,詠嘆調,類,獨白是在戲劇中獨自說獨唱曲是在歌劇中獨自唱,獨唱曲,詠嘆調,唱腔"
arid,"乾旱的,枯燥的,缺乏興趣或感情,無生氣和乏味,例,沙漠地區是草木不生的類沼澤的特點是潮濕的沙漠的特點是干旱的反,潮濕的"
arms,一般或戰爭用的防禦或攻擊性武器
army,"軍隊,陸軍,正規軍,野戰軍"
arts,"藝術形式,複數"
aura,"人或物發出的氣味,香味"
avid,"熱望的,急切的,貪婪的"
away,"離,遠離,去,掉,不斷,下去,在外的"
awry,"彎曲的,扭曲的,走樣的地,出差錯的地"
axis,"記象虛線虛軸,軸,虛構之線,如地軸,坐標軸,軸"
axle,"記像實線車軸,車軸,一個或多個車輪繞其轉的軸,輪軸,車軸"
back,"向後,在後,回,回原處,以前,背,背部,背後,後面,後面的,支援"
bail,"動詞,保釋,助某人脫離困境,往外舀,水,名詞,保釋,保釋金,或人,戽斗"
bait,"餌,誘惑物,以餌引誘,動物,把餌裝上,欺負,折磨,中途休息"
bale,"記,球大包裹是一種負擔不幸,災禍,用線或繩纏繞包裹的,大包,災禍,不幸,反,歡笑,高興,大包,大捆,指標准量貨物,如稻草,麥杆,貨物,打包,捆包,包裝,災難,痛苦,悲哀"
balk,"馬,不肯前進,因困難等固執地或突然地,拒絕從事某事,大方木料,足球中的,假動作例,這馬突然停下來了,他固執地拒絕了妥協的想法反"
balm,"止痛膏,安慰劑,有鎮靜,止痛或安慰作用,止痛或療傷的,香膏例,俚安慰金給離婚妻子的贍養費類解毒劑可以解毒油膏可以解痛反,刺激物"
band,"帶子,鑲邊,波段,隊,樂隊,聯合,結合"
bane,"毒藥,滅亡的原因,滅亡,禍根"
barb,"記,原指倒翹的胡子,后來胡子變為,而成為倒鉤的意思,后引申為尖刻的話,讀爸爸一般來說,教育孩子要分唱白臉的和唱紅臉的嚴厲批評,說尖刻的話,的人肯定是爸爸,在旁邊不失時機的勸阻的人肯定是媽媽唉作男人真是慘天生就是這個命,就像魚鉤的倒刺扎到肉裡,想拔出來很困難,尖刻的話,倒鉤,箭或魚鉤的頭上按反方向彎回去的鉤,例,傷人的話,類,魚鉤,魚叉的倒鉤,巴巴里鴿,一種類似信鴿的鴿子,裝倒鉤于"
bard,"記讀吧噠馬蹄的聲音吟游詩人一般就是騎著馬邊游山玩水邊作詩,對于無聊的就應該,酒吧,地吟游詩人沒錢了,只好給酒吧擦地,吟游詩人,凱爾特族的詩人,自編自唱酋長和英雄的傳奇業績,抒情詩人,例,莎翁,莎士比亞的別稱,酒吧,地吟游詩人沒錢了,只好給酒吧擦地,吟游詩人"
bare,"赤裸裸的,無遮蔽的,空的,無設備的,稀少的,僅有的,勉強的,露出,暴露"
bark,"樹皮,可用于製革或入藥,狗吠,例,樹皮可以作藥材,狗總是對著陌生人叫類表皮是哺乳動物的皮樹皮是針葉樹的皮"
barn,"農谷倉,畜棚,畜舍,機器房"
base,"基礎,基地,根據地,以,作為,基礎,把,建立在,的基礎上"
bash,"動詞,痛擊,猛攻,名詞,痛擊,猛烈的一擊"
bask,"為了享受溫暖,晒太陽,例,我們在海灘上晒太陽,晒太陽,享受溫暖,感到溫暖,愉快或舒適"
beam,"光線,橫梁,容光煥發,微笑,閃亮,上梁,發射"
bear,"熊,忍受,負荷,產生,懷有,使跌價,忍受,結果實,壓迫,開動,轉向"
beat,"打,敲打聲,拍子,打,打敗,搜索,疲乏的,頹廢的"
been,"是,動詞的過去分詞"
bell,"鈴,電鈴,鐘,鐘聲,鈴聲,系鈴於,給,裝鈴"
bend,"彎曲,屈服,使彎曲,使屈服彎曲"
bent,"形容詞,彎曲的,決意的,名詞,愛好,傾向"
best,"最好的,最佳的最好的人或物,最,最好地"
bile,"記拼斃,拼了斃了斃了他才能取他的膽汁,斃了他他就會發怒,鼻,樂鼻子樂了,說明鼻孔變大了,發怒的基本特征,膽汁,貯存在膽囊裡,由肝臟分泌的,又苦又鹼,黃褐色或黃綠色的液體,用以幫助分解,消化和吸收脂肪,易怒,暴躁,源原指發怒液在古代生理學中的人體黑色膽汁或黃色膽汁的任一種,據說能使人發怒,類,胰島素由胰臟分泌膽汁由肝臟分泌,膽汁,憤怒"
bilk,"記,鈔票,讀克星鈔票克星詐騙錢財的人,逃避付錢給,賴帳,欺騙,尤指錢財,例,命運使我的希望落空,騙取某人的錢,挫敗,詐騙,詐騙,騙子"
bind,"綁,約束,裝訂,包紮,使結合,凝固,有約束力"
bird,"名詞,鳥"
blow,"吹,充氣,吹響,吹,吹動,吹響一擊,打擊"
blue,"藍色,晴天,大海,憂鬱,沮喪,藍調音樂,布魯斯舞曲,藍色的"
blur,"動詞,使模糊不清,使朦朧,名詞,模糊,模糊不清的事物"
body,"身體,人,屍體,主要部分,團體,賦以形體"
bold,"形容詞,無畏的,大膽的"
bolt,"動詞,閂上,用螺栓拴緊,吞吃,衝出,名詞,門栓,螺栓,電光,衝撞"
bone,"骨頭,骨,骨製品,剔骨,專心致志"
book,"工作簿書,書籍,帳簿,名冊,登記,預訂"
boom,"繁榮,隆隆聲,急速發展,發隆隆聲,使興旺,發隆隆聲"
boon,"恩惠,恩賜,福利,裨益,幫助,照顧"
boor,"記讀布耳鄉下人的耳朵是布做的,所以聽不懂別人的意思,所以他們的正面特征是感覺遲鈍的,鄉下人很窮,粗野的人,舉止粗魯,拙笨,沒有情趣,不敏感的人,農民,例,行動象鄉巴佬的游客,類,易上當之人是輕信的魯鈍之人,農民,粗野的人,不懂禮貌的人,波爾人"
bore,"令人討厭的人,激浪,槍膛,孔,使煩擾,鑽孔,鑽孔"
bout,"發作,一場,一輪,一陣,回合,交鋒,較量"
brag,"吹噓,吹牛,例,你是所有人中最會吹牛的"
brat,"記,讀不愛他頑童沒人愛,讀捕,耗子,頑童喜歡捕老鼠,被寵壞乳臭未干調皮搗蛋舉止粗魯的,小鬼,頑童,乳臭未干的小孩,小子"
brim,"記,邊,框,你到了懸崖邊上,我會說不,嚴厲的,堅定的,鬼在邊上嚴厲的,杯,碗,帽子的,邊緣,盈滿,溢滿,例,她的眼睛裡充滿了淚水,他斟滿了一杯啤酒,參,充滿的,盈滿的,杯,碗等,邊,邊緣,河,邊,注滿,使滿溢,滿溢"
buck,"形容詞,雄的,軍階最低的,動詞,馬,彎背躍起,羊,低頭撞,車,顛簸,名詞,雄性動物,鹿,羊或兔等"
buds,花苞
bulb,"球莖,球狀物,電燈泡"
bulk,"大小,體積,大批,大多數,顯得大,顯得重要"
buoy,"湖,河等中的,浮標,浮筒,救生圈,使浮起,支撐,鼓勵"
burn,"燒,燒毀,燒傷,燃燒,發熱,燒毀燒傷,烙印"
bury,"埋葬,掩埋,埋頭,專心"
bust,"形容詞,破產的,垮了的,損壞了的,動詞,爆裂,斷裂,打破,破產,名詞,胸像,女性的,胸部"
butt,"粗大的一端,靶垛,笑柄,以頭抵撞,碰撞"
call,"呼叫,訪問,打電話,號召,召集,要求,呼叫,召集,打電話,叫喊,訪問"
calm,"靜的,平靜的,鎮靜的,沈著的,使安靜,使鎮定,平靜下來,鎮定下來"
cane,"手杖,細長的莖,藤條,以杖擊,以藤編制的"
cant,"記作為詞根歌,歌唱的,讀砍他黑社會的語言黑話,不能聽懂的話黑話,專門術語,黑話,平庸之辭,傾斜,使傾斜,偽善之言,黑話,隱語,斜面,角落,講黑話,傾斜"
cape,"斗篷,披肩,披風,圍巾"
care,"小心,謹慎,注意,關懷,照料,關心,介意,喜歡,願意,關懷,照料"
carp,"吹毛求疵,以令人不快的方式挑刺,例,她總是找我的岔類十分抱怨是吹毛求疵過量飲用是痛飲,前褒后貶,吹毛求疵者是吹毛求疵的放蕩者是放蕩的"
cast,"演員陣容,投擲,鑄件,預測,性質,投,擲,拋,脫落,鑄,使彎曲,計算,投"
cell,"區,細胞,血球,小室,牢房,電池,光電管,基層組織"
char,"記是中國的音譯詞,茶的意思,茶在外國是用炭燒的,讀差燒焦了,技術太差,烤炙,燒燒,的表面,以不完全燃燒的方式,燒成炭,茶,燒焦"
chef,"名詞,餐館等的,主廚,大師傅"
chew,"咀嚼,嚼碎,咀嚼,細想咀嚼,咀嚼物"
chip,"晶片,薄片,碎片,削,切,削成碎片,使摔倒,鑿,碎裂"
chop,"厚肉片,排骨,砍,交換,戳記,商標,剁碎,砍,切,割斷,砍,突然轉向"
cite,"動詞,引用,舉出,表揚"
clam,"蛤,沈默寡言的人,蟶子,撈蛤"
clan,"名詞,氏族,部落,家族"
clay,"粘土,泥土,肉體,人體,似黏土的東西,陶土制的煙斗"
clip,"修剪,夾,回形針,剪下來的東西,修剪,痛打,夾牢,剪輯,剪報"
clog,"木底鞋,障礙,障礙,阻塞"
clot,"凝塊,群,使,凝結,使,聚集"
coat,"外套,上衣,皮毛,表皮,層,塗層,塗上,蓋上,包上"
coax,"哄誘,通過持久的說服獲得,例,她哄我吃藥參,欺騙,戲弄,同軸的,類甜言蜜語為了哄騙獎章為了獎勵支吾其詞是為了欺騙"
coda,"記共同,打音樂演的不好,觀眾就會共同往上扔雞蛋,所以知趣的樂隊就會趕快進入尾聲部分,聽到了,大家都昏迷了,尾聲,樂章或樂曲正式的結尾,類,后記是小說戲劇結尾尾聲是交響樂奏鳴曲的結尾,結束語是演講的結尾用甜點是一餐的結尾,反,序曲,樂章結尾部,完結部,終結句"
code,"代碼碼,密碼,法規,法典,把,編碼,製成法典"
