irritated,"形,被激怒的,惱火的,刺激唄,的,形容詞被刺激而導致憤怒的"
melodrama,"情節劇,通俗鬧劇,以夸張的感情,老套的角色及人物之間的沖突為特征的戲劇,類情節劇不具備微妙性妖怪不具備真實性"
memoir--0,"傳記,傳略,她寫了一本傳記,記述了自己多年來與維斯敦休奧登的交往"
menace--0,"動詞,威脅,恐嚇,名詞,恐嚇,具有危害性的人,或物"
mendicant,"乞丐,尤指托缽僧"
mentor--0,"導師,良師益友,源孟托,奧德賽的忠實顧問,雅典娜通過裝扮成他而成為忒勒馬科斯的保護人及老師參,精神的,類導師給予指導預言家給予預言導師指導江湖騙子支吾者欺騙"
mercurial,"水銀的,善變的,活潑的類易變的情緒易變的感情易變的行為反複無常的人不會一諾千金揮霍的人不會有償債能力"
merriment,"歡樂,笑鬧"
mesmerism,"催眠術,催眠引導法"
migratory,"遷移的,有遷居習慣,或特色,的流浪的遊走性的"
milestone,"名詞,里程碑,劃時代的事件"
milieu--0,"周圍環境,社會及文化方面,出身背景"
miniature,"縮圖,小畫像,小規模的,纖小的"
miniscule,"小字,極小的"
misery--0,"名詞,痛苦,不幸,悲慘,窮困"
misinform,"向,提供錯誤資訊"
misplaced,錯放的
misshapen,"造型不佳的,殘缺的,畸形的"
mnemonics,"記憶法,記憶規則"
mockingly,"愚弄地,取笑地"
moderated,指該討論區是設有信件區管理人的
molded--0,模塑的
momentous,"極重要的,有突出意義或影響的,類極壞的和壞的極重要的和重要的"
monastery,"男子的,修道院,僧院,修道院中的,全體修道士"
monologue,"一個人的滔滔不絕的話,長篇大論"
morbid--0,"兴趣,精神,思想等病态的,疾病的,有成见的,令人毛骨悚然的,恐怖的"
morose--0,"壞脾氣的反,愉快的,心情愉快的,樂天的,快活高興的,歡樂的,使高興"
mortality,"必死性,死亡數,死亡率,產婦死亡率,肺癌死亡人數在增多,事業等的失敗次數,失敗率,人類"
motivated,"有根據的,有動機的,由,推動的,促使"
motley--0,"雜色的,五顏六色的,穿染色衣的,混雜的,雜色,雜色衣服,混雜,小丑"
movements,運動
murmuring,低語
muster--0,"召集,集合,點閱,清單,花名冊,樣品,召集,集合,應召,集合,集中"
myopia--0,"目光短淺,缺乏遠見,記法,自己,看,視力,只看得到自己目光短淺"
narrative,"敘述,故事,敘述的,敘事的,故事體的"
nation--0,"國家,民族,名詞"
naysay--0,"記,拒絕,武斷拒絕,反,同意,同時發生,拒絕,拒絕"
necessary,"必須的,需要的,必然的,不可缺少的必需品"
nefarious,"邪惡的,凶惡的,不法的"
negate--0,"否定,取消,使無效"
neglected,"被忽視的,疏忽"
negotiate,"洽談,協商,談判,順利通過,成功越過"
neolithic,"新石器時代的,早先的,巭經過時的"
nettle--0,"麻,接觸其植物刺毛會引起皮膚過敏,煩憂,激惱反,安慰,平息"
nightmare,"惡夢,恐怖的經驗,如惡夢般的事"
nonentity,"記,存在一好像不存在的人,無足輕重的人,無足輕重的人,虛構的東西,參,無以匹敵的人,類,外行不敬業無足輕重的人不重要,不存在"
nonporous,"無孔的,不滲透的"
nonviable,"無法生存的,記沒有路可走的,不可行的"
novice--0,"源,原指見習的修士,修女,引申為,新手"
nutrition,"營養之供給或攝取,營養"
obeisance,"鞠躬,敬禮,表示尊敬或服從"
obligated,"有義務的,有責任的"
oblige--0,"迫使,責成,以誓言束縛,施惠,答應要求而作,使感激"
obscuring,"暗的,黑暗的,朦朧的"
obscurity,"陰暗,不分明,朦朧,含糊,晦澀,偏僻,隱匿,身份低微"
observant,"密切注意的,警惕的,遵守的,敏銳的"
observing,"注意的,留心的"
obsession,"執念,擺脫不了的念頭或情感,著迷,著魔"
obstinacy,"固執,倔強,頑固,記,倔強的,頑固的"
occult--0,"神秘不可理解的,秘密的,隱藏的反,赤裸的,露出的,特許的,顯著的,看得透的,顯然的"
occurring,發生
off-topic,NotFoundAnyMeanings
offensive,"討厭的,冒犯人的,攻擊的,進攻,攻勢"
officious,"愛發命令的,好忠告的類過分關心的是多管閑事的過分優雅的是假充紳士的過分節儉的是吝嗇的多管閑事的愛干涉不滿的愛反抗"
offish--0,"記,離開,喜歡離開人群,冷淡的,冷淡的,傾向于遠的和保留的,參,遠的,走調的,彌補,抵銷,舞台內部,反,好交際的,喜歡群居的,冷漠的"
offspring,"名詞,子女,子孫,後代"
olfaction,"嗅覺,記,氣味,做,用來嗅出氣味的知覺嗅覺"
oligarchy,"少數統治,由少數人或菁英團體統治或控制"
one-sided,"形容詞,片面的,單方面的"
onlookers,NotFoundAnyMeanings
opague--0,"不透明的,難懂的"
operative,"形容詞,有效的,操作的,手術的,名詞,技工,偵探,間諜"
oppresses,"壓迫,壓制"
oracle--0,"宗,古希臘,神諭,預言,神諭處,神使,哲人,聖賢,美國公司,主要生產數據庫產品,也是主要的網絡計算機的倡導者"
orchestra,"管弦乐队,管弦乐队的全部乐器"
organisms,生物體
orient--0,"動詞,使,朝東,定方位,使熟悉情況,名詞,亞洲國家,尤指東亞"
ornate--0,"裝飾華麗的,過分修飾的,字根,裝飾"
orthodoxy,"正統學說,類,宗教是一種虔誠教規是一種正統學說,正統的"
oscillate,"持續周期性地,擺動,猶豫不決記,吃生病了還吃飯,手沒有力量,所以手抖,搖擺參,猶豫不定,類振蕩使秋千運動動力使滑車運動"
ossify--0,"使骨化,使硬化,骨化,硬化,變得無情,記法"
ostensive,NotFoundAnyMeanings
ostracism,"貝殼流放,放逐,排斥"
ostracize,"放逐,將,排斥于群體之外參,貝殼,放逐,區,鴕鳥,回避現實的人,類被放逐者被放逐囚犯被監禁反,接收,歡迎"
others--0,其他的
outgrowth,"自然結果,產物,副產品,記法,的組合字"
outskirts,"名詞,複數,郊外,郊區"
outspoken,"直言的,坦率的,毫无保留的,心急口快"
outwardly,"表面上,外表上,向外面"
overboard,"向船外,從船上掉到水裡"
overreach,"擴展,以上,過度伸張,走過頭,過分,過火,以後足踢前足"
overstate,"誇張,對,言過其實"
overthrow,"推翻,瓦解,傾覆,打倒,推翻,傾覆"
ownership,"名,物主身分,所有權,擁有者身分,名詞擁有者的身分"
painfully,"痛苦地,費力地,惱人地"
palatable,"美味的,令人愉快的類美味的是可口的可分辨的是明了的"
palpitate,"記,摸,摸得著的心跳悸動,心臟,悸動,急迅而有力地抖動,跳動"
paltry--0,"無價值的,微不足道的,讓人厭惡的,讓人鄙視的"
panegyric,"頌詞,頌揚,正式的公開頌揚性文章,類,頌詞贊揚諷刺文諷刺告別詞告別誹謗使喪失信譽反,詛咒"
panoramic,"全景的,全貌的,概論的"
pantomime,"名,默劇,耶誕節的兒童劇模仿的動作劇模仿的動作劇"
parameter,"決定因素,界限,範圍,規範"
parasitic,"寄生的,寄生蟲的由寄生蟲引起的"
parity--0,"平价,价值对等,同等,平等,奇偶性"
parley--0,"會談,談判,會談,談判,講"
parody--0,"模仿性嘲弄文章或表演為取得喜劇或嘲諷效果,而模仿某一作家或作品的有顯著特征形式的文藝作品,拙劣的模仿模仿得不好以至不能與當初打算做的嘲弄相提並論的東西"
parsimony,"吝嗇類吝嗇鬼吝嗇起義者反抗吝嗇是過分節儉傲慢是過分驕傲反,慷慨"
partially,"部分地,一部分地,不公平地"
partition,"動詞,分割,用隔板等,隔開,名詞,分割,劃分,分隔間"
patrician,"記,父親,像父親一樣威嚴,貴族,貴族,參,家長統治,父權製,殺父,祖傳的財物,愛國心,反,底部,貴族,貴族的"
patrimony,祖傳的財產
patronage,"贊助,光顧,任免權,保護人的身分"
patronize,"以高人一等的態度對待,光顧,類,用的是屈尊俯就的態度,用的是嘲弄的態度,資助是叫人欠情的諂媚是低三下四的,使領情的氣惱的,同義"
pedagogue,"教師,源,最初有貶意,例,乏味的,比,煽動民粹的領領袖,字源來來自,解"
peddle--0,"挑賣,沿街叫賣,叫賣,零賣,散播"
pell-mell,"混亂地,亂七八遭地"
penalties,"處罰,刑罰"
penetrate,"刺穿,了解根,全部,進入,全部進入,刺穿參,敏銳的,類,不可穿透的不能刺穿不可避免的不能避免不變的不能變化"
peninsula,"記,筆,島像鉛筆一樣的島,半島,半島,一塊突入水域且以地峽和大陸相連的陸地,根,差不多,島,差不多是島,半島,半島"
penury--0,"貧窮,吝嗇,節儉"
perceived,"察覺,感知,我看到一個人走進這間房子,我看不出這些硬幣有什麼差別,意識到,理解,他漸漸地了解到他的父母是對的"
perennial,"終年的,永久的,記法,完全,年"
perfervid,"記,全部,熱的,熱心的,極端或過分熱心的,極端或過分熱心的,反,冷漠的,非常熱心的"
perforate,"記,全部,刺穿,打洞,全部,為了,吃在餅干上打一排孔就容易掰開,這全部是為了方便吃,尤指在郵票上,打洞,刺穿,類,折疊產生折痕打洞產生洞,打孔產生孔使,打褶產生褶皺,打孔"
performed,履行
periphery,"不重要的部分,外圍"
periscope,"記,周圍,看,看周圍的情況一潛望鏡,潛望鏡,潛望鏡,展望鏡"
perishing,"嚴厲的,要命的,討厭的,糟糕的"
permanent,"永久的,不變的,固定的,持久的電燙的頭發永久的"
permeable,"被液體或氣體,可滲透的參,彌漫,滲透,類可塑的可以捏製可滲透的可以穿透不透明無法讓光線進入不可滲透無法讓液體進入反,防水的"
perpetual,"連續不斷的,四季開花的反,短暫易逝的,間歇的,短暫的,短時間的"
persecute,"因為種族,宗教,性傾向或信仰,不斷迫害,不斷地困擾類糾纏是不斷煩擾不斷迫害是不斷傷害縈繞心頭是不斷回憶,使,氣惱,使,焦躁,使,忿怒,麻煩的事物,怨恨,觸怒"
persevere,"堅持,孜孜不倦,不屈不撓"
personnel,"總稱,人員,員工,人事部門"
persuaded,確信的
pessimism,"名詞,悲觀,悲觀主義"
pesticide,殺虫劑類殺虫劑殺昆虫除草劑殺植物
pestilent,NotFoundAnyMeanings
petroleum,"石油,可提煉汽油或煤油"
petrology,岩石學
petulance,"發脾氣,性急,暴躁"
phenomena,"復數,現像,科學研究的現像"
philately,"記,愛,郵票,喜歡,晚了,集郵,集郵,收集和研究郵票,集郵,集郵的興趣"
pictorial,"記源于,圖片,有圖片的,有插圖的,用圖說明的,圖示的,畫報"
pirouette,"記,轉,小,小轉,腳尖立地的旋轉,皮魯埃特旋轉,芭蕾中,腳尖立地的旋轉,腳尖旋轉,以腳尖旋轉"
pithiness,"記源于,有髓的,精練的,有力,簡潔,類,簡潔是格言的特點夸張是諷刺畫的特點,有力,簡潔"
placid--0,"平和的,宁静的,温和的,满意的,满足的,平缓"
plaintiff,"抱怨原告,被告"
playfully,開玩笑地
pleasures,NotFoundAnyMeanings
plentiful,"許多的,豐富的,豐饒的"
pliant--0,"易彎的,易受影響的,溫順的,類,短暫的容易消失易受影響的容易屈從,易受影響的容易被影響易發脾氣的容易被激怒"
pliers--0,"記,彎,使東西彎的東西,鉗子,鉗子,鉗子,老虎鉗"
poisonous,"形容詞,有毒的,有害的"
polarized,極化
polarizes,使兩極
polishing,拋光
pollinate,"怕冷給,花,植物,傳授花粉"
pomposity,"自大的行為,傲慢,自命不凡"
ponder--0,"沈思,默想,細想,衡量,估量"
porcelain,"瓷器,瓷,瓷制的,精美的,脆的,易碎的"
porcupine,"記,豬,松針,有松針的豬,豪豬,毛孔,粗,毛孔裡有粗針的豬,豪豬,豪豬,箭豬,嚙齒類動物之一,其粗硬的毛中有長而尖的刺,參,豬肉,動豪豬,箭豬"
portfolio,"公事包,資料夾,投資組合,部長或大臣職務"
portrayal,"描寫,描畫,繪畫,肖像"
possessed,"著魔的,瘋狂的,拼命地,猛烈地,用於責問某人為什麼做壞事,蠢事或意想不到的事等,究竟是為什麼,怎麼會這樣鬼迷心竅"
postulate,"假定,為前提,聲稱對,擁有主權區,勸誡,忠告,反,否認為假"
posturing,"故作姿態,裝模作樣擺姿勢,並非由衷的言行"
potent--0,"有力的,有效的,強而有力的,有影響力的"
potentate,"統治者,當權者參,力量,有力的,有潛力的,類鑒賞家有技術統治者有權力反,學科,臣民,無勢力的人"
potential,"潛在性,可能性,潛力,潛能,勢,位,有潛力的,可能的,潛在的"
potpourri,"記,罐子,倒,罐子倒一地,大雜燴,文學作品的集錦,大雜燴,花香,肉菜雜燴"
practical,"實際的,實踐的,實用的,應用的,有實際經驗的"
practices,"實行,實施,實踐"
pragmatic,"忙碌的,活躍的,實際的,國事的,實用主義的"
precedent,"在先的,在前的,先例,判例"
precipice,"記,前面,落下,前面突然落下,懸崖,懸崖,類,斷崖很險峻狹谷很狹窄,反,平坦的,懸崖"
precisely,"副詞,精確地,清晰地,確實如此"
precision,"準確性,精確性,精密度,校準反光鏡需要極高的精確性"
pregnancy,"懷孕,豐富,多產,意義深長"
prejudice,"偏見,成見,損害,侵害,使,抱偏見,損害,不利於"
premature,"早熟的,過早的,不按時的早產兒,早發"
prescribe,"規定,命令,指示,囑咐,開處方"
presented,呈現
presenter,"贈送的,呈獻者,提出者"
pretended,"偽的,假的,虛偽的"
pretender,NotFoundAnyMeanings
prevalent,"流行的,盛行的,一般的,普通的,廣布的,蔓延的"
primitive,"原始人,早期藝術家,原始的,上古的,舊式的"
principal,"最重要的,主要的,首要的,資本的,本金的長,負責人,資本,本金"
principle,"原則,原理,主義,信條,機器等的,原理,構造,工作方式,道義,節操,起源,本源"
privately,"私下地,不公開地"
privation,"缺乏,窮困,喪失,被剝奪了某物的狀態"
privilege,"特權,特別恩典,基本人權,特免,給與,特權,特免"
proboscis,"像,長鼻,昆蟲等,吸管"
processes,"處理,過程"
procreate,"記,向前,創造,生育兒女,生育,生,兒,女,生殖,產生,生殖,生育"
producing,生產
professed,"明言的,公然的,宣誓後入教的"
profusely,"大量地,豐富地"
profusion,"極其豐富的狀態,揮霍奢侈,反,極小量"
projector,"設計者,投射器,放映師"
prolix--0,"冗長的,開頭,解,此字有負面意涵,形容說話,或寫作,過於冗長,衍,過多"
prolixity,"令人厭煩地羅嗦,反,極為簡潔,簡潔,簡明,稀薄,冗長,羅嗦"
promenade,"記,向前,男人,男人向前,散步,作為社交活動在公共場合的,散步,散步,散步,散步的"
promoting,"宣傳,推廣"
proofread,"校對,校勘"
propagate,"繁殖,傳播,傳送,繁殖,蔓延"
propel--0,"推進,推動,激勵,驅使"
propeller,"名詞,螺旋槳,推進器"
propriety,"禮節,適當類犯罪不道德傲慢不禮貌過分注意禮節過分挑剔質量無禮的人沒有禮貌魯鈍的人沒有敏感"
prosecute,"進行,實行,從事,告發,起訴,告發,起訴,作檢察官"
prostrate,"記,前,國家,對于國家的前任領導人要屈服,俯臥,俯臥的,面朝下屈服或崇拜的,反,直立的,垂直的,降伏的,沮喪的,衰竭的,俯臥的,弄倒,使屈服"
provender,"記源于,提供,用于喂養牲畜的,草料,糧草,秣,口食物"
providing,"假若,在,條件下"
provisory,"記,前,看,在合同前面看的故事,附帶條件,有附帶條件的,反,無條件的,無限製的,有附文的"
proximate,"即將來臨的,接近的,接近,接近,臨近"
prudently,"謹慎地,慎重地,精明地"
publicity,"公開,宣傳,宣揚,廣告"
puissance,"記,撲,三,死我撲上去能讓你死三次,威力,源于,權力,權力,威力,根,打,有打人的力量,威力,參,拳擊,好斗的,反,無能,無權,馬的,越障能力測試,古權力,權勢,力量,影響"
pulverize,"記讀,力量,用力量壓成細粉,徹底擊敗,壓成細粉,徹底擊敗,反,使凝固,研磨成粉"
purgative,"淨化的,瀉藥"
purgatory,"天主教教義中的,煉獄,受苦受難的地方"
purported,"謠傳的,聲張的,號稱的"
purvey--0,"大量,供給,食物,類賣主供應檢察員清查"
qualified,"有資格的,有限制的"
qualities,"品質,才能,特"
querulous,"抱怨的,爱发牢骚的,易怒的,爱抱怨"
questions,問題複數
quickness,"急速,迅速,速度"
quiescent,"不動的,靜止的參,債務清償,反,粗暴的,騷亂的"
quivering,"顫抖,發抖"
raconteur,"記,描述,人一講故事者,善于講故事的人,類,善于講故事的人喜歡講故事擅長文字者喜歡寫作,健談者,善談者"
rancorous,"怨恨的,憎恨的,恨意,敵意"
rattle--0,"使嘎嘎響,喋喋不休地說,急促地談,格格響,喋喋不休格格聲,撥浪鼓"
ravishing,"記源于,迷住,強奪,因為被迷住,所以,贊揚搶奪的意思,源于,搶奪,令人陶醉的,令人銷魂的,類,令人陶醉的是十分吸引人的敏銳的是十分有洞察力的,引人入勝的"
reasoning,"記源于,理由,原因,推論,在做結論,推斷時運用的,推理,推論,類,詭辯是假推理偽鈔是假錢,邏輯學研究推理倫理學研究行為,反,謬誤,正確的推理,推理,評理,論証,推理的"
rebellion,"名詞,反叛,反抗"
rebuff--0,"斷然拒絕,棄絕,冷落,回叭哺啦斷然回絕"
recant--0,"宣佈放棄,撤回,取消自己主張,撤回自己意見"
recede--0,"向後退,退卻,退,收回,降低,減弱"
receptive,"善于接受的參,容易接受的,容納者,容器,類沙文主義是過分愛國的輕信的是過分易接受的"
recession,"後退,凹入的地方,不景氣,歸還"
recessive,"基因等隱性的,由隱性基因控制的,內向的,內斂的"
recipient,"領受的,容易接受的,感受性強的領受者,容納者,容器"
reckoning,"計算,合計,總計,指望,依賴,設想,預料,報應,懲罰"
recognize,"認出,認可,承認,公認,賞識,具結"
recoil--0,"畏縮,倒彈,後退,反作用,後座力,退卻,撤退,反沖,報應,被,嚇到倒彈"
recombine,"再結合,重組"
recommend,"推薦,介紹,勸告,建議,使成為可取,使受歡迎"
reconvene,"記源于,召集,共同,來,再集會,再召開,參,敘述,詳細闡述,重新集合,重新召集"
rectangle,"矩形,長方形,長方形物"
rectitude,"思想上的,正直,誠實類正直的人不違法懶惰的人不學習鋒利的不是鈍的無暇的瑕疵懶惰的激動反,不公平,不公正"
recumbent,"靠著的,躺著的,不活潑的,休息著的"
recurring,"一再發生的,不斷出現的"
redundant,"累贅多余的,冗長的類相關的和相關多余的和多余離題和離題的反複說和羅嗦的"
refectory,"記源于,使精力恢複,地方,食堂,修道院或學院的,食堂,修道院,學院等處的,食堂,餐廳"
referenda,公民投票的複數
reform--0,"動詞,改革,革新,名詞,改革,改良"
refrained,抑制
refulgent,"輝煌燦爛的,參,閃亮"
refurbish,"刷新,擦亮,翻新"
refute--0,"反駁,駁斥,駁倒,打臉"
regarding,"把,看作,尊重,的現在分詞,介系詞,關於,就,而論"
regime--0,"政權,當權期間,政體,社會制度"
regretful,"後悔的,惋惜的,遺憾的"
regularly,"有規則地,一絲不苟地,正式地"
rehash--0,"重講,改頭換面地重復改頭換面地作品"
rehearsal,"預演,排演,練習,背誦,復述"
reimburse,"補償,償還,回補幫公司先墊的錢,費用,費用"
reinforce,"加強,增援,補充,求援,得到增援加固物"
reiterate,"反復地說,反復講,重申,政府重申拒絕向恐怖分子妥協"
rejoinder,"記,再,加入,再次加入討論,反駁的回答,反駁性質的回答,參,使再結合,再回答,答辯,反駁"
relations,"關係,關聯"
releasing,釋放
relenting,"記源于,發慈悲,變溫和,反複,借反複要借給你,仁慈的,仁慈的,憐憫的,參,無情的,反,無情的"
relevance,"相關性,實用性,意義"
relieving,"救助的,救援的"
religious,"宗教性的,虔誠的,宗教上的修道士,出家人"
relish--0,"滋味,風味,美味,愛好,食欲,含意,調味品,吸引力,調味,喜歡"
reluctant,"形容詞,不情願的,勉強的"
remainder,"剩餘物,其他的人,殘余,餘數,廉價出售,剩餘的,出售剩書的"
remaining,"留下的,剩餘的,其餘的"
remark--0,"注釋備注,評論,注意,評論,注意,談及,評論,談論"
remedy--0,"藥物,治療法,治療,補救,賠償,治療,補救,矯正,改善,修補,修繕"
remiss--0,"玩忽職守的,工作時松懈的,參,免除,寬恕,赦免,可寬恕的,寬恕,赦免,反,勤勉刻苦的,拘泥細節的,小心謹慎的,機警的"
remove--0,"階級,升級,移動,搬家,距離,移動,調動,除去,遷移,開除,移交,遷移"
render--0,"報答,歸還,匯報,提出,放棄,反映,表示,表達,表演,致使,執行"
rendering,"記源于,提供,致使,表演,演出,翻譯,參,表演,翻譯,翻譯,表現,描寫,透視圖,粉刷,表演,打底,復制圖"
reparable,"可補救的,可彌補的"
repayment,"付還,償還,回,付款,結果"
repellent,"令人厭惡的類討厭的不會吸引人短暫的不會持久反,使人神魂顛倒的,迷人的"
repertory,"戲劇,上演,劇目,演奏目錄,貯藏庫"
replenish,"把,裝滿,把,再備足,補充,我們不得不額外進口四百萬噸小麥以補充我們的儲備給,添加燃料,你最好給爐火再添些燃料古使住滿人"
replicate,"折疊,折轉,復制八音階間隔的反復高低音,折轉的,彎回的"
reprehend,"譴責,責難,反,抓住,反過來抓住別人缺點"
represent,"表現,表示,描繪,講述,聲稱,代表,象徵,扮演,回憶,再贈送"
repressed,"情感,被壓制的,被壓抑的"
reprobate,"墮落者,道德敗壞的人,墮落的,放蕩的,譴責,痛斥,拒絕,不提供"
reproduce,"復制,翻版,再生產,再造,繁殖,生殖,繁殖,生殖,再生產,復制"
reptilian,"像,爬行動物的,像,爬蟲的卑躬屈節的,卑鄙的,鬼鬼祟祟的"
repulsion,"擊退,厭惡,拒絕,排斥,令人反感的,擊退的,排斥的,擊退,驅逐,感到厭惡,反感,嚴厲拒絕,排斥"
repulsive,"形,推斥的,排斥的,嚴拒的,令人厭惡的"
requiring,需要
requisite,"必需品,要素,必要物品,必要的,需要的"
rescue--0,"動詞,援救,營救,名詞,援救,營救"
resembles,類似
resentful,"憤怒的,憤慨的,憎恨的,怨恨的"
residence,"居住,留駐,存在,住宅,宅第"
resign--0,"放棄,辭去,把,交托給,使順從,辭職"
resistant,"形容詞,抵抗的,名詞,抵抗者,防染劑"
resisting,NotFoundAnyMeanings
resolving,解析過程
resources,"資源,物資"
restrains,NotFoundAnyMeanings
restraint,"抑製,克製,類,放蕩的缺乏抑製偷懶的缺乏刻苦,反,沸騰,熱情,順從的,不受約束的"
resurgent,"復甦的,復興的,恢復生機或活力的"
resurrect,"始復活,使復甦,記法再,超,上,直立,在一次向上直立使復活"
retainers,NotFoundAnyMeanings
retaining,保留
retaliate,"報復,報仇,回敬,報復,以牙還牙,徵收報復性關稅"
retentive,"有保持力的,有記憶性的"
reticence,"不轻易暴露想法或感情,沉默,不爱说话,含蓄"
reveal--0,"露出,顯示,透露,揭露,泄露,神,啟示窗側,門側"
revealing,"形容詞,顯露的,透露真情的"
revere--0,"尊敬,崇敬,納爾遜曼德拉與種族隔離制度進行了無畏鬥爭,贏得了世人的崇敬"
reverence,"尊敬,敬重,敬禮,尊嚴,威望,崇敬,敬畏,尊敬"
revile--0,"辱罵,撤退,退卻,撤退,退卻"
revoke--0,"廢除,取消參,可廢除的,類取消定單吊銷執照反,授權與,廢除權威"
revolt--0,"反,轉,叛亂,反抗,反感,叛亂,反抗,起義,厭惡,反感,使反感,使惡心"
revulsion,"嫌惡感,雜亂的,不連貫的,散漫的"
rewarding,"令人滿足的,有回報的,值得的"
ridden--0,"受,支配的,充斥,的,受階級制度所苦的"
rightness,"廉正,正直,公正"
rigmarole,"冗長的廢話,沒條理的長文,無情的,冗長的,無條理的"
robust--0,"健康的,強健的,要用力氣的,堅定的,粗野的"
roisterer,喝酒喧鬧的人
roughened,NotFoundAnyMeanings
roughness,"粗糙,凹凸面,篷亂的毛發"
saccharin,"糖精,結尾天然是素,非天然是精"
sacrifice,"犧牲,供俸,祭品,犧牲,祭祀,賤賣,獻祭"
sacrilege,"褻瀆聖物,冒瀆,悖理逆天的行為"
safeguard,"動詞,保護,防衛,名詞,保護,防衛,預防措施"
safety--0,"安全,保險,平安,安全設備,保險機,保護,防護"
