aerie,"鷹巢,高處的房子,高處的城堡"
amass,"積聚,尤指財富,例,每次戰爭壟斷資本家們都大發橫財參,巨大的,大屠殺,使與汞混合,合并"
amble,"記走,我是球,所以只能漫步,不然就記,基努李維,的,漫步在雲端,的,漫步,諧音,這是最喜歡看的電影,漫步,緩行,尤指馬步,例,這匹馬正在溜蹄行走,根走,我是球,所以只能漫步,參,救護車,前言,序言,區,充足的,豐富的,像充足的,緩行,溜蹄"
amity,"和睦,親善,國與國之間,友好關係"
among,"介系詞,在,之中,被,所環繞"
ample,"足夠的大量的,豐富的"
amuse,"娛樂,逗樂,使高興,使有趣"
angel,"天使,守護神,可愛的人"
anger,"生氣,怒,憤怒,使發怒,發怒"
angle,"角,角落,釣魚,奪取,追逐,轉變角度,使轉動角度"
angry,"形容詞,生氣的,憤怒的"
annoy,"動詞,惹惱,使生氣,使煩惱"
annul,"宣告無效如婚約,契約或法律,取消"
antic,"記源自意大利語,一些古羅馬雕塑中稀奇古怪的花樣,與,古董,來自同一詞源,有時是的,滑稽可笑的,荒誕古怪的,滑稽動作,小丑,例,這猴子做出幾種滑稽動作,丑角,滑稽動作,奇特的,滑稽可笑的"
anvil,"記讀安危喔鐵砧真是痛苦,我很同情它,每天被鐵錘所蹂躪與踐踏,過著安危不定的生活,鐵砧,頂端平整光滑用來錘鍛金屬成型的厚重鋼板或鐵塊,例,諺好砧不怕錘打,類,組合工具,錘子砸在鐵砧上研棒砸在研缽上,解砧骨"
aorta,"記讀嘿毆他嘿,快看那不是李嗎毆打他,直到主動脈出血為止,主動脈,血管的主干道,大動脈"
apart,"形容詞,分開的,相間隔的,副詞,分開地,相間隔地"
apply,"申請,要求,運用,適用,勤奮,專心致志"
apron,"圍裙,外表或作用類似圍裙的東西,機擋板,護坦"
ardor,"熱心,熱情類緩和痛苦降低熱情減輕強度反,遲鈍,不活潑"
areas,地區
arena,"體育比賽或表演用的,場地,競技場"
argot,"盜賊等的,暗語,黑話,在某一特定群體內使用的專門詞匯,反,標準語言,一般用語"
argue,"爭辯,爭論,辯論,辯論,爭論,說服,用辯論說明,表明,証明"
armed,"有扶手的,武裝的,動物,有防衛器官的"
aroma,"記諧音,我肉麻,如果你碰到林志玲黑長髮,細肩帶低胸,網式露臍裝,黑皮超短裙,長筒靴,再加上一身濃濃的香水味兒,你什麼感覺,我肉麻,好吧辣妹要怎要讓金城武,我肉麻,呢多讓自己有芳香香氣,一種羅馬女人的芳香,芳香,一種有令人舒適的氣味,如植物,香料或食物,例,她的房間洋溢著神秘的東方風味,芳香,香氣,香味"
array,"排列,編隊,軍隊,衣服,大批,部署,穿著,排列"
arson,"記讀,啊,兒子,別再縱火了,解說,這是危險犯,別亂來,縱火,縱火罪,蓄意地放火燒別人的房屋,或其他財產的罪行,或為了不正當的目的而燒自己財產的罪行,如索取保險金,字根燃燒,熱,參衍,熱情的,縱火犯,字源源於軍械場裡的槍呀,炮呀的就是用來縱火,放火的,縱火,縱火罪"
aside,"副詞,在旁邊,到,或向,旁邊"
aspen,"白楊,白楊的,似白楊的,顫抖的"
assay,"記正如,說正如說的那樣含金量很高化驗分析,需要用短文來証明,化驗分析,物質的定性或定量分析,尤指礦石或藥物,例,這礦石經分析証明含金量很高,化驗,化驗"
attic,"記在,尖在尖上頂樓,住在上的人都有一點,丑角,滑稽可笑的,古董,也有一點,閣樓,頂樓,閣樓,頂樓,解剖,耳的,鼓室上的隱窩"
audit,"审计,稽核,查帐,稽核,旁听,查账"
avoid,"避免,躲避,回避"
aware,"意識到的,知道的,明白的,發覺的"
awash,"被海水淹沒,擊打的,例,潮汐時,海水擊打著岩石,反,干燥的,與水面齊平的,被浪沖打的"
axiom,"記和,格言,座右銘,一起記,不言而喻的,普遍被認定的或數學上的,公理,格言,例,阿基米德公理,數公理"
badge,"半自動防空警戒管制組織,徽章,標記"
balky,"突然,停止不前的,倔強執拗的反,易駕馭的,易處理的"
balmy,"氣候,溫和的,止痛的,安慰的,例,一陣溫和的微風,反,惡劣的,辛辣的"
barge,"動詞,笨重緩慢地移動,猛闖,名詞,駁船,大型平底船"
based,"以,為總部的,以,為根據的"
basic,"基本,要素,基礎,基本的,鹼性的計算機基本高級語言"
basis,"基礎,主要成分"
baste,"記,這兩個詞都是烤的意思,能產生,倒脂油于,烤肉上以防烤干,如溶化了的奶油或醬汁,例,烤肉時潤油不致烤干,類,澆油防止干燥填塞防止潮濕,粗縫,潤以油脂,在烤肉上,涂油,狠揍,大罵"
batch,"一次所烘的麵包,一次所制之量,一組,批,成批,分批批,成批,分批"
baton,"記打,蝙蝠,上打的東西,或者記蝙蝠落在警棍上,指揮棒,指揮家或鼓手用,警棍,接力棒,例,他們聲言要打死我,司令棒,指揮棒,警棍"
bawdy,"記讀,想象,想象,再想象妓女的,賣淫的,妓女的,好色的,例,妓院,參,鴇母,娼主,反,正派得體的,賣淫的,妓女的,好色的"
begin,"開始,著手,動手"
begun,"開始,過去分詞"
beige,NotFoundAnyMeanings
being,"是,要,有,在,的現在分詞,名詞,存在,生存,生命,本質"
below,"在,下面,在,以下,在下面,在下方"
bench,"法官席,長凳類演講者在演講台上演講法官在法官席上審判"
bigot,"宗教,政黨的,激進份子,衍,源,最早的意思是,相當於,現在指,頑固的人,自以為在神的身邊的人"
biped,"記二,兩,腳兩足動物,二足動物,兩足的,例,鳥,參,蜈蚣,足病醫生,兩足動物,有兩足的"
birds,"鳥,複數"
birth,"名詞,出生,起源"
bites,NotFoundAnyMeanings
blade,"名詞,刀片,葉片,葉片狀物"
blame,"動詞,歸咎於,名詞,責備,指責,責任"
blast,"動詞,炸開,吹奏,嚴厲批評,名詞,一陣,疾風,突然吹奏,爆破"
blasé,"過度放縱之後厭倦享樂的,膩煩的"
blend,"混和,把,混成一體,混合,混成一體"
blind,"瞎的,眼睛失明的,盲目的,視而不見的,使失明,使看不見簾子,百頁簾"
bliss,"極樂,福氣天堂之樂,狂喜"
bloat,"使膨脹,醃制,膨脹,腫起,得意忘形腫脹病人"
block,"大塊,大塊木料,一排房屋,阻塞,障礙物,阻塞,攔阻"
blood,"血,血統,流血,氣質,生命,放血,用血染"
blows,"吹,刮"
bluff,"虛張聲勢,嚇唬,虛張聲勢,懸崖,直率的"
blunt,"鈍的,遲鈍的,直率的"
blurb,"簡介,廣告,印在書籍封套上的簡介,類,簡介是一種布告簡要注釋是一種解釋特寫是一種表演出場,都有簡單的特征,其中,特寫一種簡要但有戲劇性的重要演員的出場,如動作畫面的單一場景,俗夸大的廣告或介紹詞,大作廣告"
blurt,"記,玷污,他你想玷污他,就會脫口而出他的壞話,與連用,不假思索地脫口而出,例,我脫口漏出了這個秘密,類,迅速飛過是快移動突然說出是快出聲,未加思索地沖口說出,突然說出"
blush,"因害羞,激動,窘困等,臉紅,泛出的紅暈例,別出我洋相,她臉紅得像朵玫瑰花區,青翠繁茂的,更惡心"
boast,"吹噓,自誇,自稱擁有,以擁有,而自豪"
bonds,"鐐銬,監禁"
books,"有記載,有案可查"
boost,"推進,支援,吹捧,推進,提高,捧場,促進"
bound,"形容詞,受束縛的,裝訂好的,必然的,動詞,與,接界,跳躍,彈回,捆,綁,的過去式及過去分詞,名詞,跳躍,領域,界限"
brace,"動詞,支撐,做好準備,名詞,支柱,大括號,牙齒,矯正器"
braid,"動詞,編成辮子,編成穗帶,編結,名詞,髮辮,穗帶"
brake,"動詞,煞車,制動,名詞,煞車"
brand,"商標,烙印,汙名,打上烙印,銘記,玷污"
brash,"輕率魯莽的,急躁,倉促,沖動,不加思索的,參,輕率的,匆忙的,鹵莽的,類,輕浮的不莊重輕率的不慎重,直率沒有托詞倉促沒有深思熟慮"
brave,"勇敢的,美好的,華麗的勇敢者,冒險"
brawl,"爭吵,爭吵,嘩嘩地流水"
break,"中斷,休息時間,中止,打破,折斷,破碎,使中止,打斷,破壞,打破,破碎"
breed,"繁殖,飼養,教養,撫養,繁殖品種,種類"
bribe,"動詞,向,行賄,名詞,賄賂"
brief,"摘要,簡報,公事包,簡短的,短暫的,對,作簡報,摘要,節錄"
bring,"帶來,產生,促使,提出,停下"
brink,"河,峭壁,危險,邊緣"
brisk,"敏銳的,凜冽的,輕快的,活潑的,使活潑,活躍起來"
broad,"寬廣的,遼闊的,廣大的,顯著的,主要的,寬闊地寬闊部分"
brood,"動詞,孵蛋,籠罩,沈思,沮喪,名詞,一窩孵出的雛鳥,一家的孩子們"
bruit,"記讀不如他我不如他這是謠言,散布,謠言等,例,據謠傳,反,保守秘密,散播"
brunt,"記中間有跑,沖鋒時的主要沖擊力,進攻時的,主要沖擊力,例,我不得不承受批評的壓力,沖擊,沖勢"
budge,"使改變立場或態度,停止抵抗,屈服"
build,"建設,建造,修建,製造骨骼,體格"
built,"動,詞,建築,建造,的過去式與過去分詞"
bulge,"凸起,比賽中的優勢地位,暴漲,突增,在數目或數量上突然而且是臨時性的增加,充滿"
bulky,"體積大的,龐大的,過大的"
bully,"欺淩弱小者,土霸,威脅,恐嚇,欺負,欺負,好的,第一流的,十分"
bumps,"碰,撞"
burst,"爆裂,炸破,使,破裂,使,炸破突然破裂,爆發"
cabal,"記,出租車,在出租車裡搞政治陰謀,讀可悲啊搞政治陰謀是很可悲的事情,政治陰謀小集團,例,一個由能力強的人組成的陰謀集團,源查理二世時期五位最有影響的大臣姓名分別為克利福德,阿靈頓,白金漢,阿什利和勞德戴爾,其姓名首字母合起來為,類,政治陰謀集團是秘密協會密謀是秘密計劃,政治,陰謀小集團,尤指政治上的,陰謀,策划陰謀"
cadet,NotFoundAnyMeanings
cadge,"記無賴,拼哥無賴的哥哥是乞丐乞討,乞討,例,他討得美分,區,徽章,移動,退讓,反,掙錢,行乞,乞討,販賣"
cameo,"記來,讀哦來哦,來哦,這兒有小浮雕,用去除材料法鏤刻的刻有浮雕的,寶石或貝殼,特寫,一種電影場面,文藝,戲劇等的,小品,片斷,例,玻璃浮雕,類,小錯是小冒犯小浮雕是小雕刻品,簡介是一種布告特寫是一種簡單表演,刻有浮雕的寶石或貝殼"
canon,"經典,真作,教規例,莎士比亞的真作源原指,基督教的,正典聖經,簡稱正經,參,大炮,類,宗教信仰是虔誠的真經是正統的反,偽經"
canto,"記讀砍頭把長詩中的頭砍掉,尾去掉就是長詩中的篇,長詩中的篇,相當于書中的,章,拳擊的一局,比賽的一節,長詩中的篇,相當于書中的,章"
cared,關心
cargo,"名詞,船,飛機,車輛裝載的,貨物"
carol,"欢乐地歌唱,唱耶诞颂歌,颂歌,赞美诗,欢乐之歌,欢唱,歌颂"
carry,"進位,超位,射程,運載,攜帶,運送,支援,傳送,意味,被攜帶,能達到"
carve,"雕刻,切,肉,菜"
caste,"印度的世襲階級,排他的,社會團體,職業等級,具有嚴格等級的,社會地位,社會等級制度"
catch,"捕捉,陷阱,捕捉之物,抓,拉手,捕捉,趕上,感染,瞭解,抓住,燃著"
cater,"承辦伙食,滿足,投合,迎合"
caulk,"記讀口渴有辦法把嘴堵上,如果口水流出來,就更渴了,用防水材料,如麻絮或瀝青,填塞,使不透水或不漏氣,堵,縫,類,澆油防止干燥填塞防止潮濕,吸收是海綿的作用密封是堵的作用,填,以防漏"
cause,"原因,目標,引起,使產生,成為,的原因"
cavil,"記,牙洞,病了,給牙挑毛病吹毛求疵,全民的,市民的,有禮貌的,不會,一起背下這兩單字吧,挑剔,吹毛求疵,不必要地找錯,提出瑣碎的反對,例,連她都挑不出什么毛病來,類,吹毛求疵是過分批評挑剔是過分反對,挑剔,找錯"
cello,"記,小提琴,中提琴,大提琴,四弦樂器,音調比中提琴低但比低音提琴高,區,地下室,以結尾表示音樂,和結尾的單詞一般都是源于意大利,所以有音樂的意思,大提琴"
chafe,"為了取暖,用手摩擦,生熱,擦痛,激怒例,鞋子擦痛了我的皮膚,責難,責難"
chaff,"谷殼,包在麥粒和其他作物粒上的干殼,在脫粒時被除去,廢物,瑣屑或無價值的,類,金屬的浮渣谷物的米糠,小麥有谷殼山核桃有外殼,揚谷是去除谷殼過濾是去除雜質"
chaos,"混亂,混沌,宇宙未形成前的情形"
charm,"吸引力,魔力,符咒,迷住,使陶醉,行魔法,用符咒,有魔力"
chary,"非常小心的,謹慎的,節儉的,花錢小心的,例,當心感冒類謹慎的人小心鎮靜的人鎮靜反,大膽魯莽的,輕率"
chase,"追求,狩獵,追逐,追捕,追逐,雕刻,在金屬上打花樣,追趕,奔跑"
chasm,"深坑,土地表面上深的,陡峭的縫隙,明顯分歧類裂縫深淵小切口大傷口,程度"
cheap,"形容詞,便宜的,副詞,便宜地,卑鄙地"
cheat,"欺騙,作弊,騙子,欺騙,逃脫,騙取"
check,"阻止,制止,控制,阻止物,支票,檢訖的記號,飯館的帳單,檢查,制止,核對,寄存,托運,証明無誤,核對無誤,逐項相符,象棋將軍"
cheer,"愉快,激勵,歡呼,加油,鼓舞,快活起來,使振奮,歡呼"
chest,"胸部,胸腔,胸膛,箱子,櫃子,金庫,公款"
chide,"叱責,指責"
chief,"領袖,酋長,長官,主要部分,主要的,首位的"
choir,"名詞,教堂的,唱詩班,合唱團"
choke,"窒息,阻塞,噎,抑制,窒息,阻塞,噎窒息,噎,阻氣門"
chord,"名詞,樂器的,弦,心弦,弦桿,和音"
churl,"記,教堂,粗魯無禮的人,吝嗇鬼,鄉巴佬,參,脾氣暴躁的,粗野,類,煩人的人特點是煩人粗魯無禮的人特點是粗魯,農業工人,鄉下人,粗野的人,吝嗇鬼"
civil,"公民的,市民的,國內的,民間的,文職的,有禮貌的,文明的"
claim,"要求,認領,主張,斷言,要求,認領,索賠,聲稱,主張"
clamp,"動詞,鉗緊,夾住,強行實施,取締,名詞,螺絲鉗,鐵箍"
clash,"沖突,撞擊聲,抵觸,使,發出撞擊聲,猛撞,沖突"
clasp,"動詞,扣住,鉤住,緊抱,緊握,名詞,扣子,鉤子,夾子,緊握,緊抱"
class,"種類,等級,階級,班,班級,年級,課,把,分類"
clean,"乾淨的,清白的,巧妙的,清潔地,完全地,清理,使乾淨"
cleft,"記讀刻,留下來刻一刀留下來一個裂縫,裂縫,例,兔唇,類,裂縫對深坑傷口對深傷口,裂縫,隙口,劈開的,劈開,分開"
cliff,"高聳的,陡峭的,峭壁,懸崖,例,我在攀登懸崖峭壁時摔斷了一條腿,懸崖,絕壁"
climb,"攀登,上升,爬攀登,爬升"
cling,"粘緊,附著,緊貼,堅持,意見,墨守,習慣"
close,"關閉,結束,完結,靠近的,親近的,親密的,周密的,關閉的,狹窄的,秘密的,關"
clout,"用手的猛擊,權力,影響力例,所有証據表明俄羅斯不再具有那樣的影響反,無力,無力,無力"
clown,"記關,自己把自己關在小丑的服裝裡小丑,通過玩笑,滑稽動作及騙局給人娛樂的,小丑,扮小丑,鬧笑話,逗趣,小丑,粗魯愚蠢的人"
color,"顏色,氣色,風格,外貌,把,塗顏色,粉飾,臉紅,歪曲,變色"
combo,小型爵士樂團
comes,NotFoundAnyMeanings
comic,"連環圖畫,喜劇演員,雜耍滑稽演員,滑稽的,有趣的,喜劇的"
comma,"記來,媽媽媽來了別玩了,停頓一下逗號,逗號,表示句子結構內思想或要素的分開,停頓或隔開,類,插字符表示插入逗號表示停頓,括號起包括作用逗號起分隔作用,逗點,逗號"
count,"計數,認為,看作,算入,數計數,數,計數,計算,數"
court,"法院,庭院,朝廷,宮庭,球場,奉承,求愛,殷勤,向,獻殷勤,追求,設法獲得,他人的支持等,博得,喝彩,招致,失敗,危險等,求愛"
cover,"蓋子,封面,藉口,覆蓋,掩飾,保護,掩護,包括,覆蓋"
cower,"因寒冷,恐懼,畏縮類,畏縮是害怕的咆哮是憤怒的反,悍然面對,發怒"
cozen,"欺騙,欺瞞"
craft,"工藝,手藝行業,職業詭計,手腕小船,船飛機,飛船"
cramp,"抽筋,腹部絞痛,鐵箍,狹窄的,難解的,使抽筋,以鐵箍扣緊,束縛"
crass,"愚鈍的,極度粗糙和拙劣的,缺乏辨別力和敏感性的,反,精製的,優雅的,精確的"
crate,"板條箱,柳條箱"
crave,"渴望,熱望,難以抑制的渴求"
crawl,"爬行,緩慢的行進,爬行,蠕動,徐徐行進"
creek,"小溪,小河,主英小港,小灣"
creep,"動詞,躡手躡足地走,名詞,爬,蠕動"
crest,"鳥冠,盔上的裝飾,如羽毛,頂部,頂峰,浪頭,到達絕頂,加以頂飾"
cries,"動詞,哭,的第三人稱單數,喊,叫"
crime,"犯罪,罪行,罪惡"
croak,"嗄嗄聲,哇哇聲,嗄嗄叫,發牢騷,用嘶啞的聲音說"
crook,"鉤狀物,河,道的,彎處,美口騙子,使彎曲,詐騙,彎曲"
crops,七八分褲
cross,"十字形,交叉,越過,穿過,相交,越過,穿過,交叉,相交"
crowd,"群眾,一夥,擁擠,擠滿,擠進"
crown,"王冠,王權,頂點,使成王,加冕,居,之頂"
crumb,"碎屑,面包屑,少許,搓碎,弄碎"
crush,"壓碎,粉碎,群眾,迷戀,壓破,征服,沖入,弄皺,擠入,被壓碎,起皺,擠"
crust,"動詞,結成外殼,覆有硬皮,名詞,麵包皮,派餅皮,硬外皮"
curse,"天罰,惡罵,詛咒,詛咒,咒罵"
curve,"曲線,彎曲,曲球,彎,使彎曲,成曲形"
cynic,"記狗,像狗一樣活著的人,自製,犬儒主義者,憤世嫉俗者,不滿黑暗的世道,憎惡不合理的社會習俗,並且認為人類的行為由自私自利而驅使,犬儒主義者,認為美德是唯一的善的東西,自製是唯一獲得美德的方法,參,憤世嫉俗的,犬儒主義,玩世不恭,恐犬病,憤世嫉俗者"
daily,"每日的,日常的,每日地,日常地日報"
dally,"蹉跎,光陰,閑蕩,好色地,嬉戲,參,戲弄,調情,類,浪費時間浪費金錢"
dandy,"記這個單詞你要是能想出來,絕對一輩子也忘不了可是,我不能說,太那個了,影響我的光輝形象,不過可以提醒你一下分成和,再用成熟人的思維想一想,花花公子,好打扮,服飾和舉止極其文雅,只知享受,什么也不干的富貴人家子弟,極品,參,打扮得華麗的,像花花公子的,類,吝嗇鬼儲藏花花公子打扮,花花公子,服裝華麗的,極好的,上等的"
dated,"過時的,老套的,落伍的"
death,"死,死亡,死神,滅亡,毀滅"
debts,的名詞複數
decay,"腐朽,腐爛,衰減,衰退,使腐壞腐朽,腐爛,衰減,衰退"
defer,"推遲,延期,聽從,服從,使推遲,使延期"
deign,"記向下,讀一個向下成一個的形狀鞠躬屈尊,記住屈尊表示對別人的一種藐視,屈尊,做某事,施恩惠于人,例,她走過去都不屑看我一眼,記住屈尊表示對別人的一種藐視,參,屈尊俯就,屈尊,賜予"
deity,"神,被奉若神明的人或物"
delay,"延遲,耽擱,延誤耽擱,延遲,耽擱"
delta,"三角州,希臘字母的第四個字"
delve,"探究,挖掘,搜索"
denim,"記獸穴,進入獸穴與野獸搏斗不能穿的太好,要穿牛仔布,粗斜紋棉布,牛仔布,類,行詩是一種詩粗斜紋棉布是一種材料,粗斜紋棉布"
depth,"深度,深奧,深厚,深切,深"
devil,"魔鬼,惡棍,可憐的傢夥,折磨,嘲弄,激怒"
digit,"記讀第幾他他得了第幾要用手指頭來表示一下這個數字,人的手指或足趾,數字,從到中的,類,犬牙是牙手指是指頭,阿拉伯數字,手指或足趾,一指寬,約四分之三英寸"
dingy,"記釘,外把鐵釘子放在外面會生鏽退色骯臟的,褪色的,由于煙與灰塵,陰暗的,骯臟的,褪色的,衣衫襤褸的,類,無光澤的不會閃光滑的不會附著,暗黑的,邋遢的"
dirge,"挽歌,哀悼歌,記泥土,歌人進入泥土后唱的歌哀歌,歌哀歌,喪禮的,哀歌,節奏緩慢莊重,悲哀的音樂,源羅馬天主教教規中為死者每日七次的祈禱,開始是這樣唱的,指引吧,我的主,我的上帝,您可看到我的行為所以該詞來源于,類"
dirty,"臟的,骯臟的,下流的,黃色的,弄臟,玷污,變臟"
ditty,"記貓唱,小曲,小調,類,小曲比清唱劇短軼事比小說短,寓言是故事小曲是歌,小調,小曲"
diver,"潛水者,跳水者,類,洞穴探險者鑽入洞穴潛水者鑽入海洋,潛水者"
dizzy,"令人頭昏眼花的,使人目眩的,頭昏的"
dodge,"動詞,閃開,迴避,名詞,躲閃,託詞"
dogma,"記頑強的狗,頑強的堅持的教條,教條,由教堂以權威的方式提出與道德信仰有關的,被一幫人絕對相信的東西,參,教條的,獨斷的,教條主義,武斷,類,攻擊傳統觀念的人不信教條想法與眾不同的人不信傳統,反,異端邪說,教條"
doing,"做的事,行為"
donor,"捐贈人,化,原料物質"
doubt,"動詞,懷疑,名詞,懷疑"
doyen,"記讀導演,有大胡子的人,老,地位高老資格,老資格,老前輩,一個團體中最年長或地位最高的人,女性為,類,古怪的人不是傳統的老資格不是初學的,老資格,老前輩,首席"
draft,"草稿,草圖,起草通風,氣流,穿堂風拖,拽,牽引徵兵,徵集"
drain,"排水溝,陰溝,消耗,負擔,排去,放幹,耗盡,流去,流幹"
drawl,"記拉,聲音被拉長的狀態,一拉長調子的說話,慢吞吞地說,說話說話時將元音拉長,參,小木槌,給,法官用小木槌給一下的動作在空中畫出的美妙的曲線,類,慢慢跑對跑慢慢說對說慢慢移動對移動,懶洋洋地說,做作而慢慢地說,懶洋洋的說話態度"
drawn,"不分勝負的,平手的,扭歪的,歪曲的"
dread,"恐懼,可怕的人,可怕的事,可怕的,可怖的,恐懼,害怕"
dregs,"糟粕,沉澱廢物"
dress,"衣服,服裝,女裝,連衣裙,穿衣,打扮,化妝"
dried,"動,詞,把,弄乾,使乾燥,變乾,的過去式與過去分詞"
drill,"操練,練習,鑽頭,鑽床,操練,訓練,鑽,操練,訓練,鑽孔,鑽通"
drink,"飲,喝,吸收,飲酒飲料,酒"
drive,"驅動器,駕車,快車道,推進力,驅動,動力,擊球,開車,驅使,推動,駕駛,開車"
drone,"雄蜂,懶惰者,嗡嗡的聲音,靶標,嗡嗡作聲,混日子,低沈地說出,無人機"
droop,"因沮喪或精疲力盡而,低垂,沮喪,萎靡"
drops,"冷珠,鐵豆"
dross,"記地,掉地上了,變成了糟粕,浮渣,在融化金屬時浮升至的氧化物,糟粕,沒有價值,鎖碎的事物,參,渣滓,糟粕,類,金屬的浮渣谷物的谷殼,提純去除雜質脫鹽去除鹽,金屬熔化時浮升至表面的,渣滓,無用之物"
drove,"作為一個整體被驅趕的,畜群,一起走動或行動的,人群,的過去式,被驅趕,的過去式,畜群"
dummy,"虛擬的,假的,虛構的,傀儡,假人,啞巴"
dwarf,"形容詞,矮小的,發育不全的,動詞,使顯得矮小,阻礙生長,名詞,矮子,矮小的動,植,物"
eager,"熱切的,渴望的,熱心的,熱情洋溢的"
eagle,"雕,鷹,日間活動的猛禽,有鉤形喙,敏銳的視覺,長而寬的翅膀和強勁高遠的飛行能力,老鷹球,低于標準杆兩杆,類,鷹有鷹爪豹有豹爪,鷹,鷹狀標飾"
early,"形容詞,早的,提早的,副詞,早,提早"
earth,"地球,泥土,世界,塵世,埋入土中,趕入洞內,躲入洞內"
easel,"記用了,畫畫就會多了,畫架,黑板架,類,三腳架支撐相機畫架支撐畫布,畫架,黑板架"
eaten,"吃,的過去分詞"
elite,"精華,精英,優秀分子"
embed,"使插入,使嵌入,深留,嵌入,醫包埋"
emote,"誇張地作為,表現感情"
empty,"清空,倒空,使變空,空的東西,空物,空的,空虛的,空腹的,空洞的"
enact,"制定,法律,扮演,角色"
endow,"資助,捐助,提供財產,收入或收入來源,源原指寡婦得到的亡夫的產業類,捐贈給你收入批準給你同意反,剝奪"
enemy,"敵人,仇敵,敵軍,敵人的"
enjoy,"享受,的樂趣,欣賞,喜愛"
ennui,"倦怠,無聊,不興奮,使無聊"
enter,"進入,參加,開始,回車鍵,輸入,回車,進去,參加"
entry,"登錄,條目,進入,入口,報關手續"
equal,"相等的,均等的,勝任的,經得起的地位相等的人,對等的事物,等於"
erary,NotFoundAnyMeanings
erase,"擦掉,抹去,刮,擦"
erect,"直立的,豎立的,筆直的,蓋,使豎立,使直立,樹立,建立,生理勃起"
erior,NotFoundAnyMeanings
erode,"腐蝕,侵蝕,受腐蝕"
error,"錯誤,誤差,罪過,邪惡,行為不正"
erupt,"戰事或衝突等,突發,爆發"
essay,"隨筆,短文,評論,企圖,試圖"
evade,"逃避,源,走開,以逃避,解,逃漏稅常用此字"
event,"事件,事情,重大事件,比賽項目,運作時,常需要完成某些事先設定好的工作,此設定即稱為事件"
every,"每一的,每個的,一切的,所有的,每隔,的,每,中的"
evict,"依法用武力,驅逐,房客,參,勝利者,勝利,類,逐出住所流放出國家反,窩藏,庇護"
evoke,"動詞,喚起,記憶等,引起"
exact,"確切的,正確的,准確的,精確的,強要,強求,急需,需要"
exalt,"讚揚,歌頌,類,反,嚴厲指責,嚴厲批評,輕視,抗議,批判,藐視,貶損,毀謗"
excel,"勝過,優於,擅長,勝過其他"
exert,"運用,力量,力量,動"
exile,"放逐,被強迫離開自己的國家,離鄉者類強行移出是驅逐強行征兵是征募"
exist,"存在,生存,生活,繼續存在"
expel,"動詞,驅逐,排出,開除"
exult,"記出,跳躍高興的跳起來狂喜,狂喜,參,悶熱的,粗暴的,放蕩的,類,狂喜是十分滿足渴望是十分向往,反,非常高興的,卑鄙的,可憐的,沮喪的,灰心的,垂頭喪氣的,非常高興,歡躍"
fable,"寓言故事,神話,傳說,謊言,虛構"
facet,"經過琢磨的鑽石,水晶,寶石,骨頭或牙上的光滑,小平面,局面,事情的眾多方面中的一個方面"
facts,事實
faith,"信任,信用,信仰,信條,誠意,忠誠"
false,NotFoundAnyMeanings
fancy,"奇特的,異樣的,根據想象的,花式的,想象,設想,喜歡,愛好,想象"
fatal,"致命的,毀滅性的,嚴重的,至關重要的,生死攸關的"
fault,"過錯,故障,毛病,挑剔,弄錯"
favor,"好意,喜愛,支援,喜歡,証實"
fawns,NotFoundAnyMeanings
