betrayal,"背叛,告密,泄密,出賣,辜負,暴露"
dramatic,"戲劇的,劇本的,戲劇性的,引人注目的,激動人心的"
drenched,"形容詞濕透的,這人全身上下都濕透了充滿的,渾身灑滿廉價香水的女子"
drinking,"喝,飲,喝酒"
droll--0,"因為古怪或離奇,好笑的,小丑,小鬧劇參,滑稽事,笑話,類,滑稽的令人發笑恐怖的令人畏縮反,墓穴,嚴重的,嚴肅的,嚴肅認真的,陰森的,憂郁的"
drooping,NotFoundAnyMeanings
drudgery,"苦工,單調,卑賤,無趣的工作,反,美差,苦差事,苦工"
duckling,"記,鴨子,小鴨子,小鴨子"
dullness,"遲鈍,黯淡,反,光輝,才華橫溢,鈍度,遲鈍"
duration,"持續,持久,持續時間,期間"
dwelling,"住宅,公寓類驅逐是從國家趕出逐出是從住宅趕出飲料是可飲用的住宅是可住的"
dyslexia,"記不良,詞語,病一閱讀障礙症,閱讀障礙症,識別理解文字的能力受到損傷,參,機能不良,煩躁不安,詞典,類,得失眠症無法睡覺得閱讀障礙症無法閱讀,醫,誦讀困難"
earliest,"早的,初期的"
eccentic,NotFoundAnyMeanings
economic,"形容詞,經濟上的,經濟學的"
edify--0,"教導,帶有道德意味,例,解,同義字,特別指道德方面,軍訓教官對學生的教導即是"
edifying,"啓迪的,起教化作用的,被留在酒吧裡和一幫足球迷整整待一下午,可不是甚麼有益身心的經歷"
educated,"受過教育的,有教養的,根據經驗或知識的"
efficacy,"功效,有效性,記,有效的"
egoistic,"自私地,以自我為中心地"
elate--0,"使興高采烈的,使得意"
elbow--0,"胳膊肘,肘部,彎頭,扶手,用胳膊肘把人擠到一邊"
elegy--0,"悲歌,輓歌,哀,樂極哀嘆去極樂世界了輓歌,悲歌"
elements,"零件,因素"
elevated,"升高的,提高的,高的,高層的"
eligible,"可以選的,具有被選舉資格的,合格的有資格者,合格者,適任者"
ellipsis,"記離開一省略,參,蝕,名聲衰落,句法上是必要的,理解上是不必要的單詞或詞組的,省略,省略號,或,用來省略字母,單詞或句子,類,括號表示解釋省略號表示省略,省略號省略字撇號省略字母,省略,省略符號"
elongate,"使變長,使延長,使變得細長,細胞吸水後變長"
eloquent,"雄辯的,有口才的,動人的"
elude--0,"巧妙地,逃避,躲避,規避,使困惑,難倒"
emaciate,"記出,媽媽媽媽出門六個月,我就瘦了六十斤,由于飢餓,使極瘦,根瘦,類,狂怒的是十分發怒極其瘦的是十分瘦的,十分堅定是頑固十分順從的是沒有勇氣的十分瘦的是極其瘦的,反,使肥,鼓舞,使憔悴,使消瘦,消瘦"
embezzle,"盜用,侵吞,違法地把錢挪為己用,根破壞破壞規矩拿錢盜用讀你別走拿了錢還想走類貪污是違法的占有資金篡奪是違法的占有權力,盜用是一種欺騙"
embolden,"鼓勵,參,大膽的,反,使窘迫,使狼狽,恐嚇,使膽寒,猶豫,沮喪"
emend--0,"校訂,修改,字根,修補"
emigrate,"永久,使,移居,使,移民"
emissary,"記出,送送出去完成某使命的人特使,密使,特使,代表另一個人完成某使命的人,使者"
emitting,"同義字詞,生產,發行"
emphasis,"強調,加強,重要,強語氣"
emphatic,"語調強的,用力的,強調了的"
employed,受雇於
empyreal,NotFoundAnyMeanings
emulated,"同,競爭,仿真"
emulsify,"記讀姨媽不是普通的姨媽是愛作酸奶的姨媽,使乳化,參,乳狀液,使乳化"
enamored,"喜愛的,迷戀的,使傾心"
encroach,"侵犯,侵蝕,蠶食"
engaging,"吸引人的,有趣且令人愉快的"
enormous,"極大的,巨大的,龐大的"
ensconce,"記進入,小堡壘,進入小堡壘安置,藏,潛逃,安置,進入,瀏覽,進電影院瀏覽安置,安坐,安全舒適地把自己,安置,尤其是隱藏在安全的地方,安坐,反,不安,迫使離開祖國,隱藏,安置"
ensemble,NotFoundAnyMeanings
ensue--0,"跟著發生,繼起,基督教聖經用語,追求"
entangle,"使糾纏,卷入,混亂狀態,纏卷成一大團類糾纏是過分卷入盤問是過分提問免除責任消除責備松開消除糾纏,使擺脫困境糾纏反,使解脫,救出,放出"
entering,進入
enthrall,"記,奴隸,束縛,被扔進美女的手掌心迷惑,迷惑,吸引住,奴役,迷惑,迷住,奴役"
entirely,"完全,全然,一概"
entirety,"記,完整的,數量或范圍的,整體,參,實體,全部,完全"
entrance,"入口,進入點,入場,入學,進入,開始,就任,使出神,使入迷"
epidemic,"形容詞,流行性的,傳染的,極為流行的,名詞,流行病,流行病,傳播,流行"
episodic,"偶尔发生的,不定期的,由松散片段组成的,有许多片段的"
epoch--0,"名詞,重要時期,新紀元,地,世"
equality,"同等,平等,相等,等式"
equation,"名詞,方程式,等式,相等"
escalate,"逐步擴大,逐步升高,逐步增強,使逐步上升"
escapism,"逃避現實,逃避主義,空想"
espousal,"擁護,信奉,結婚"
ethereal,"輕飄虛空無形的,非物質的,精神的源原指天上的,天國的反,物質的,重要的,笨重的,冗長的"
ethos--0,"道德風貌,思潮,信仰,社會或民族等的精神特質,性格,氣質"
eulogize,"用語言或文字大力,稱贊,頌揚,參,頌揚的,歌功頌德的,類,頌詞用來贊揚諷刺文章用來諷刺,贊揚者擅長稱贊吹毛求疵者擅長挑剔,反,批評"
euphoric,"心情愉快的,心滿意足的"
evacuate,"撤離,避難,疏散"
evaluate,"對,評價,為,鑑定"
evenness,平靜
everyday,"形容詞,每天的,日常的"
eviction,"對房客或佃戶的,驅逐,類,驅逐出國家逐出住所,逐出,趕出"
evidence,"動詞,顯示,表明,名詞,證據,證詞,證人,物證"
exacting,"苛求的,難以取悅的,工作,任務,要求嚴格的類堅持細節者是苛求的失敗主義者是聽天由命的警惕的不易被陷害苛刻的不易被滿足機警的不易被欺騙"
examples,例子
exchange,"交換,調換,兌換,交流,交易,交換,兌換,調換崗位或任務交換,調換"
exciting,"令人興奮的,令人激動的"
exemplar,"模範,榜樣,模範的"
exercise,"練習,習題,訓練,鍛煉,行使,運用,實行,演習,操練,訓練,鍛煉,行使"
existing,"存在的,現存的,目前的"
expedite,"加快,促進,派出,暢通的,無阻礙的,迅速的,方便的"
expenses,"費用,開支"
explains,解釋
exponent,"說明者,詳加解釋說明的人,支持者,指數參,建議者,支持者,反對者,類支持者支,勸誡,忠告"
exposure,"暴露,揭發,受到,曝光,輻照"
expounds,NotFoundAnyMeanings
external,"外部,外面,外部的,客觀的,表面的"
extol--0,"高度,贊美,吹捧反,嚴厲指責,嚴厲批評,責難,輕視,抗議,批判,誹謗,藐視,貶損,判刑,譴責,打"
extremes,極端
exude--0,"充分顯露品質使滲出,使緩慢流出"
fabulous,"傳說的,無根據的,難以置信的"
factored,"因素,要素"
faithful,"確實的,正確的,可靠的,忠實的"
fallible,"容易犯錯的,不可靠的"
familiar,"熟悉的,常見的,親密的熟友,常客"
farce--0,"笑劇,鬧劇,滑稽劇,胡鬧,古填塞,為,演講,作品等,加穿插"
farewell,"再見,辭行,告別話類頌詞表示贊揚告別話表示告別反,首次登場,告別演出"
fastened,"使两物系牢,的过去式和过去分词,系紧,使牢固,使关紧"
fastness,"要塞,城堡,堅固"
fatigued,"心力交瘁的,筋疲力盡的"
favoring,有利於
fearless,"無畏的,類,無畏的不會被恐嚇冷漠的不會被打擾,不怕的,大膽的,勇敢的,無畏的"
feathers,羽狀裂縫
feedback,"反饋,回授,回復,反應"
feelings,"感情,心情,表感情時,恆用複數"
feign--0,"假装,捏造,假装,装作"
feminist,"男女平等主義者,女權擴張論者,男女平等主義的,女權擴張論的"
fiery--0,"熾熱的,熱烈的,暴躁的,情感激烈的"
fighting,"戰鬥的,搏鬥的,鬥爭的戰鬥,搏鬥,鬥爭"
figurine,"記,外形,體形,塑造,小小體形小雕像,小塑像,小雕象,類,巨型雕像對小雕像大卵石對小卵石,遺跡是小殘餘小雕像是小雕像小樹枝是小樹枝,小雕像"
filament,"細絲,細線,燈絲單纖維"
