abandon,"動詞,放棄,名詞,放縱,放任"
accost,"貿然上前和人攀談,勾引,用一種挑舋,敵對或有性暗示的方式走近或談話,特指妓女拉客,例,一個女孩上來與他搭訕類搭訕是一種強行接近強求是一種強行尋求贊揚贊揚,使適應新環境,使服水土,服水土,適應"
account--0,"帳目,報告,估計,原因,利潤,算賬,記錄,解釋,認為,占,解決,得分"
accountability,"有責任,有義務,账,账目,存款,记述,报告,理由,解释,导致,报账,认为,把,视作"
accounting,"会计,会计学,帐单,解释的形式,叙述"
accrete,"共生,合生,附著,使依附,使連接,共生的"
accretion--0,"增加,律添加物,附加物,地沖積層"
accrue--0,"透過自然增長產生,形成,隨年齡俱增的智慧,利息等的自然孳生,增加,按日生息"
accumulate,"積累,積聚,積累,堆積"
accumulation,"積聚,累積,積聚物"
accuracy,"名詞,正確,性,準確,性"
accurate,"準確的,正確無誤的,精確的"
accusation,"指責,譴責,指控,控訴,罪名"
accusations,指責
accuse--0,"指責,指控,控告,控訴"
accustom,"使習慣,使適應"
accustomed,"形容詞,慣常的,適應了的"
acerbic--0,"尖刻的,辛辣的,信的字裡行間流露着派克的辛辣諧趣,這一點讓人們對他既欣賞又懼怕"
achieve,"完成,達到,取得,實現"
acid,"形容詞,酸性的,有酸味的,名詞,化學,酸"
acidulous,"記酸,多,的稍酸的,稍有酸味的,刻薄的,脾氣壞的,性情乖僻的,例,刻薄的諷刺,多少帶酸味的,不悅的"
acknowledge,"承認,告知信件文件等"
acknowledgment,"承認,確認,感謝,收到的通知,容許響應,簡稱用於描述數據准確無誤地發送到接收端的一種訊息"
acme,"最高點,解,中的,表,尖,字形相似,為,粉刺,臉上尖的東西"
acolyte,"記一再,賴他因為他是你的下屬,副手,如果是住持,你敢賴他,在宗教儀式,中幫助教士,的助手,助手,侍僧,行宗教儀式時的教士的助手,侍僧,助手"
acorn,"記它是由,和,谷物,兩個詞組成的,橡實,橡子,橡樹果實為木質,是單一種子,有厚壁,源它是由,和,谷物,兩個詞組成的,植橡樹果,橡子"
acoustic,"形容詞,聽覺的,音響的,名詞,發音響的器具"
acquaint--0,"使,熟知,使,了解,使了解"
acquaintance,"認識,瞭解,相識的人,熟人"
acquainted,"對某事物熟悉的,對某人認識的"
acquiesce--0,"勉強同意,默認,含有不情願,但又不敢反抗的味道,例,你只得默認他們的計劃參,不動的,靜止的,安靜,類"
acquiescence--0,"默許,默認,無可奈何的同意"
acquire,"買入,取得,收購"
acquired,"已獲得的,已成習慣的,後天的,通過自己的努力得到的,反,天生的,已獲得的,已成習慣的,後天通過自己的努力得到的"
acquiring,"取得,養成"
acquisitive--0,"貪婪的,衍,例,解,小心別和,愛問題的,搞混,從,來來"
acquit,"宣判無罪,表現,完成,履行,清償,解除"
acquittal--0,"宣告無罪,由陪審團或法官宣告被告沒有所控罪行,無罪,被証明無罪的狀態,參,報答,酬謝,無處不在的,宣告有罪,宣告無罪"
acrid,"記源於拉丁語表示尖銳,酸辛辣的,刻薄的,辛辣的,令人不愉快的辛辣,苦澀的,言語或語調,刻薄的,例,言語尖刻的演說,苦藥,類,刺耳的聲音辛辣的味道,辛辣的,言語或語調,刻薄的"
acrimonious--0,"嚴厲的,辛辣的,刻毒的"
acrimony,"尖酸,刻薄,字根,尖,酸,反,禮讓"
acrobat,"記高,走,蝙蝠高空走的人高空蝙蝠雜技演員,走鋼絲的,雜技演員,在體操的平衡與靈活技巧方面十分嫻熟,見風轉舵的人,觀點或立場善于隨環境變化的人,參,只取首字母的縮寫詞,恐高症,類,外科醫生特征是熟練雜技演員特征是敏捷,走鋼絲的,雜技演員,隨機應變者,翻云覆雨者"
acrophobia,"記高,憎恨,病憎恨高的病,恐高症,對於高處的一種不正常的恐懼,醫恐高症"
across,"穿過,橫穿,越過,橫跨,與,交叉,遍及交叉,十字架"
act,"行為,幕,法案,動作,行動,表演,盡職責,假裝,扮演,裝作,下判決"
acting,"形容詞,代理的,臨時的,裝腔作勢的,名詞,演戲,演技,假裝"
action,"動作,作用,戰鬥控告,行為,訴訟"
actions,動作
active,"活動的活躍的,積極的,有效的,主動的,活性的,現行的,現役的"
activism--0,"行動主義,激進主義"
activities,"活動,活動力"
activity,"活動,活性,活力"
actor,"男演員,行動者,參與者"
actors,"男演員,演員"
acts,使徒行傳
actual,實際
actually,"實際的,事實上的,的衍生的副詞,副詞,實際上"
acuity,"聽力,視力,思維等的靈敏度,敏銳,疲勞也會影響視力的靈敏度"
acumen--0,"敏銳,明智,判斷或洞察力快速,準確,例,我的營業本領使我非常成功類敏捷和敏銳的聰明和精明的反,不能識別"
acute,"敏銳的,激烈的,尖銳的,嚴重的"
acutely,"尖銳地,劇烈地"
adage,"記廣告,時代廣告時代,格言,古訓,表達普遍真理並在長期使用過程中獲得確認的格言,特點是古老這個詞首次是以,這個詞組形式收錄於,牛津英語詞典,格言,諺語"
adamant,"堅硬的東西,非常堅硬的"
adapt--0,"動詞,使適應,使適合,改編,改造"
adaptable--0,"能適應的,適應能力很強的,可修改的"
adapted,"適應的,適宜的"
add,"加,增加,補充說,加,增加"
added,"附加的,額外的,進一步的"
addendum,"記增加,尾部在一本書的尾部增的部分附錄,書本的,補充,附錄,例,這是本書的附錄,類,附錄是附加的文件附言是附加的信件,附錄,補遺"
addict,"沉迷於,的人,對,上癮的人"
adding,"加入,增加"
addition,"加法,附加,附加物,增加部分,加"
additive,"附加的,加成的,添加的,添加劑,添加的,附加的,加法的"
address,"地址,寫地址,致詞,演說,對,說話,引導,引見,調用地址,中有三種地址表示形式位址,或位址,以及硬體或位址"
addressing--0,"尋址,定址,訪問"
adept--0,"熟練的,內行的,擅長的行家,能手"
adequate,"足夠的,充分的,適當的,適合的"
adhere--0,"粘附,胶着,坚持,坚持"
adherence,"名堅持,固守,忠誠,黏附"
adherent--0,"信徒,追隨者,擁護者"
adheres,遵守
adhering,黏著
adhesive,"帶黏性的,膠黏的,膠合劑,黏著劑"
adj,調整
adjacent,"毗鄰的,鄰接的,靠近的,貼近的"
adjoining,"同義字詞,毗鄰的,鄰近的"
adjourn,"延期,休會,換地方,使中止"
adjudicate--0,"記朝向,判斷,裁決,充當裁判,判決,通過司法程序聽取及解決案件,例,裁定一項損害賠償的要求,參,明智的,偏見,判決,宣判,裁定"
adjunct--0,"附屬物,附件,修飾語,附屬的"
adjuration--0,"嚴令,懇求,祈求"
adjust,"調整,使適應於,校準,調整,適應於,校準"
administrators,管理人員
admirable,"可欽佩的,優良的,令人驚奇的"
admirably,"極好地,美好地"
admiration,"贊賞,欽佩,贊賞的對象"
admire,"贊美,欽佩,喜歡,愛慕"
admires,欣賞
admission,"接納,准許進入,招收,招生,入場,入學,入場券"
admit,"允許進入,承認,接納,容納,容許有,開向,承認"
admitted,"被承認了的,公認的"
admitting,承認
admonish--0,"勸告,告誡,訓誡,提醒,責備"
admonition,"告诫,劝告,轻责,温和的责备"
adobe,"泥磚,土坯,未燒過的粘土與稻草經風干做成的磚,用於修飾名詞,例,土磚房屋,土磚牆,區,住所,住處,避,躲避的地方住所,地,用地上的土做的土坯,美國公司,是著名的圖形圖像和排版軟件的生產商,磚坯,土磚,美國公司,是著名的圖形圖像和排版軟件的生產商"
adolescent,"形容詞,青少年的,未成熟的,名詞,青少年"
adopt,"採取,採納,選擇,視力,希望"
adopted,"被收茲的,被採用的"
adopts,"採取,採納,吸收"
adoration,"崇拜,崇敬,敬慕,仰慕"
adore,"崇拜,愛慕,口語,喜愛"
adorn,"記裝飾,裝飾,例,她喜歡佩戴珠寶,根裝飾,參,賄賂,華麗的,裝飾"
adornment--0,"同義字詞,裝飾,裝飾品"
adrenaline--0,"腎上腺素,使激動興奮等"
adroit--0,"通常是在緊迫條件下,熟練的,靈巧的例,熟練的網球手根一再,正確的一再正確熟練的參,笨拙的,熟練地,機敏地"
adroitly,熟練的
adroitness,靈巧
adulate,"諂媚,奉承,過分地稱贊或恭維,類厭惡是過分不喜歡奉承是過分贊賞,不屑是強烈拒絕諂媚是強烈奉承"
adulation,"奉承,源,尾隨,在別人之後的,奉承者,衍,例,瘋狂追隨者,唯唯諾諾的人,記用,成人,來記,相較於孩子,成人才會,奉承,比,字形相像的字,摻雜質"
adulterate,"摻假,加入外來的,不當的或低等的成分使變得不純,通奸的區,諂媚,奉承"
adumbrate,"畫輪廓,預示,蔽蔭,遮蔽在,上投下陰影"
adv,副詞
advance--0,"前進,進步,進步的例子,前進,增加,上漲,促進,提出,提高,預付"
advanced,"高等的,在前的,年老的,先進的"
advantage,"長處,好處,優點,優勢,利益,有利條件"
advantageous,"記,優勢,利益,有利的,有益的,例,這對我們極為有利,有利的"
advantageously,有利地
advent,"來到,來臨,耶穌降臨時"
adventitious,"記源於基督降臨偶然的,這是基督的一個偶然的想法,他要成為人的樣式,以無罪的身體降臨人世,擔當人的罪孽,完成救贖大功被釘十架,埋葬,複活,升天,偶然的,偶然的,外來的"
adventures,"冒险活动,的名词复数,冒险经历,奇遇"
adventurous,"喜歡冒險的,敢做敢為的,充滿危險的"
adversary--0,"對手,敵手,的"
adverse,"形容詞不利的,相反的,敵對的"
adversity,"逆境,不幸,厄運,身處逆境時,她也從不垂頭喪氣"
advert,"引起注意,提到,廣告"
advertise,"做廣告,登廣告,發告示,宣傳,宣揚"
advice,"勸告,忠告,指教,建議,意見"
advisable,"形容詞,可取的,明智的,適當的"
advise,"勸告,通知,與,商量,建議,提意見,商量"
advocacy,"擁護,支持,提倡者,擁護者,他們是自由貿易的倡導者,辯護者,律師"
advocate,"鼓吹,主張,支援,擁護,提倡"
advocates,"提倡者,擁護者"
aegis,"記讀遺址既然是遺址,譬如圓明園和故宮,當然需要保護,保護,庇護,例,兒童福利現在處于法庭的保護之下,源原指希臘神話中宙斯的帝盾或胸鎧,羊皮盾,后來成為雅典娜的象征,盾中心裝有美杜莎的頭像引申為保護,庇護,希神羊皮盾,保護,庇護,支持"
aerate,"記氣,表示動作充氣,充氣,讓空氣進入,特指用二氧化碳充氣于液體,比如雪碧和可樂,向血液等,供氧,使組織暴露于氧氣中,如通過呼吸充氧于血液,例,他用一種有說服力的口語體使他的文章顯得生動,血液在肺中與氧結合,使暴露于空氣中,使充滿氣體"
aerial,"航空的,生活在空氣中的,空氣的,高聳的,天線"
aerie,"鷹巢,高處的房子,高處的城堡"
aesthete,"記一種,感覺審美家憑的就是一種感覺,審美家,對藝術及自然之美具有異乎尋常高敏感度,唯美主義者,被認為是過于或假裝崇拜美的,參,麻醉劑,悅目地,雅致地,類,美學研究美認識論研究認識,審美家,唯美主義者"
aesthetic--0,"美學的,有審美感的,感覺"
affability,"和藹,殷勤,親切"
affable--0,"人,易于交談的,和藹的,溫柔的和親切的,例,笑容可掬參,無法表達的,像傳說一樣的"
affect,"影響,妨害,感動,感染,感動,假裝,冒充,常去"
affectation,"做作,假設,矯揉造作"
affected,"感动的,受到影响的,人或行为假装的,倾向于,的,影响,的过去式和过去分词,假装,感动,疾病侵袭"
affection,"友愛,愛情,影響,疾病,傾向"
affections,感情
affidavit,"美律宣誓書,經陳訴者宣誓在法律上可采作証據的書面陳述,根一再,相信讓人一再相信的東西宣誓書,讀我非得為她,我非得為她去死宣誓書,參,不忠,背叛,自信,類,宣誓書是一種陳述結婚儀式是一種儀式,美律宣誓書,經陳訴者宣誓在法律上可采作証據的,書面陳述"
affiliate,"接納,使附屬,交往,與,有關"
affiliation--0,"加入,入會,會籍,接納,附屬,交往,聯系,有關"
affinity--0,"喜好,本性,傾向,記法音讀,愛撫,音讀,你,愛撫妳喜好,傾向"
affirm--0,"堅稱,聲明,斷言,確認"
affix,"粘上,貼上,在合同上添寫某事物,詞綴"
afflict--0,"動詞,使痛苦,使苦惱,折磨"
affliction--0,"痛苦,悲傷,折磨"
affluence,"豐富,富裕,流入"
affluent--0,"錢財,財產或財富,富裕的,豐富的,例,自然資源豐富的土地,根一再,流動一再流入富裕的,參,匯流,多余的,反,貧困的,身無分文的,貧乏的"
affordable,"負擔得起的,買得起的"
affront--0,"記朝向,前面,臉朝向別人的臉當眾冒犯,有意地,公開地當眾,侮辱,冒犯,例,當眾侮辱某人,這種行為是對社會的蔑視,參,厚顏無恥,使面臨,對抗,公開侮辱,輕蔑,公開侮辱,冒犯,面對"
after,"副詞,以後,之後,在後面,隨後,介系詞,在,之後,連接詞,在,之後"
afterward,"副詞,之後,以後,後來"
again,"重新,又,再,再一次"
against,"對,對抗,反對,防備,預防,以,為背景,在,的襯托下,與,相比"
agape,"記,一再,張開,張大,作,猩猩做猩猩,猩猩有一個毛病張大嘴這是有生理原因的,猩猩原本是大攙貓的代表看見什麼都想吃,包括天上星星,所以每天晚上它都張著大嘴,仰望星辰故取名為猩猩,星星,別懷疑就是這樣背單字的,目瞪口呆地,的,因驚訝而大張著嘴地的,例,她獨自一個張大著嘴發呆,張口發呆地,目瞪口呆地"
age,"動詞,使變老,使,酒之,味道變醇,使成熟,名詞,年齡"
agenda,"內心的想法,企圖,不做,議程,解"
agent,"媒介,動因,代理人,行為者,經紀人,作用物,藥劑"
agglomerate,"記作,球作成球凝聚,凝聚,結塊,使形成或聚集成圓的一團,參,凝聚成團,球形的,全球的,大團,大塊,成塊的,凝聚的,使成團,使成塊,使凝聚,成團,成塊,凝聚"
aggrandize--0,"增大,擴張,范圍,權勢,影響,地位和名望,例,我所希望的只是擴充我的家業參,莊嚴,偉大,說大話的"
aggravate--0,"使,病情,惡化,加重使,局勢等,更嚴重"
aggregate--0,"合計,總計,集合體,合計的,集合的,聚合的,聚集,集合,合計"
aggression--0,"侵略,侵犯,挑釁侵略行為,侵犯行為"
aggressive,"形容詞,好鬥的,挑釁的,有進取精神的"
aggressively,"積極地,有侵略性地"
aggressiveness,"好鬥,具侵略性"
aggressor,"侵略者,侵略國,攻擊者"
aggrieve--0,"使悲傷,使委屈,使苦惱"
agile,"靈活的,輕快的,敏捷的"
agility,"敏捷,灵活,机敏,敏捷快速的移動能力"
agitate,"攪動,鼓動,煽動,激動,使騷動,使焦慮"
agitated,"不安的,焦慮的,激動的顫抖的,問題等,爭論不休的"
agitation,"攪動,鼓動,煽動,激動,騷動,焦慮"
agnostic,"不可知論者,無法証實上帝的存在但又不否認上帝存在的人,不可知論的,源不可知論者並不否認上帝和天堂的存在,但卻認為無法確切知道他們的存在與否這個詞是由世紀的英國科學家赫胥黎創造出來的他用前綴,意為,沒有,無,和名詞,造詞與希臘詞,有關,指,意識關于精神玄奧的,神秘的意識,因此,就指那些有這類意識的人,哲不可知論者"
agog,"記,讀我高歌,因為太興奮了,太激動了,作為詞根,引導,如,煽動政治家,去蹦的吧有強烈興趣的,興奮的,有強烈興趣的,充滿熱切期望的或激動的,例,大家都急於知道發生了什麼,興奮的,熱切的,熱切地,渴望"
agonize--0,"感到極度痛苦,十分煩惱,苦鬥,掙扎,使極度痛苦,折磨"
agony,"苦惱,痛苦,劇痛,陣痛,極度的痛苦"
agrarian--0,"農業的,土產的,土地的農民的,由農民組成的農村的"
agree,"同意,贊成,承認適合,同意"
agreeable,"適意的,愉快的,一致的,符合的,適合的"
agreeably,"愜意地,令人愉快地"
agreement--0,"同意,答應,商定,一致,協定,協議"
agronomy,"記田地,農業,表學科農學,農學,農藝學,研究土壤管理和作物生產,農藝學,農學"
ahead,"副詞,在前,向前,預先,事前"
ahistorical,"歷史,事實,錯誤的,時間錯置的"
aid,"幫助,有助之物,助手,援助,幫助"
ail,"動,詞,使痛苦,使苦惱,干擾,使不適,感到不適,生病"
aimless,"漫無目的的,沒有目的和方向"
aimlessly,"漫無目的地,無目標地"
aining,癌寧
air,"空氣,氣氛,氣派,架勢,空中,高空,空軍,吹風,宣揚,播送,發表,表達"
airborne,"空運的,空降的,風媒的,空中傳播的"
airplane,"飛機,飞机"
airtight--0,"密閉的,不透氣的,無懈可擊的"
alabaster,"記,原指雪花石膏,一種不透明的,白色或淺色的紋理細密的石膏,後引申為,雪白的,一個,實驗室,讀愛死它一個實驗室中生產出來的讓人愛不釋手的東西雪花石膏因為,將其磨成粉后可製成增白粉蜜,特別受黑哥,黑妹的喜愛,雪白的,雪花石膏,雪花石膏制的"
alacrity--0,"欣然同意的敏捷之狀,特別愿意做事,而且做起來特別敏捷,例,他爽快的接受了我的提議類節斂防止浪費敏捷防止延遲"
albeit--0,"雖然,儘管"
alchemy,"煉金朮,魔力,記非,不,化學不是真的化學偽科學煉丹術,煉金術,煉丹術,中世紀的一種化學,聲稱可將一些金屬變為金子,發現萬靈藥及製備長生不老藥,參,化學,類,煉金術是假科學秘方是假藥物,占星術不是真正的天文學煉金術不是真正的化學"
alcohol,"酒精,含酒精之飲料"
alcoholic,"形容詞,含酒精的,酗酒的,名詞,酒鬼"
alcove,"記,洞凹室,凹室,凹進處,與一個房間相連或形成房間的一部分,例,衣帽間,根,拱頂拱入凹入,區,范指各種凹處,如牆壁,海岸線和山脈的凹進處,特指壁龕,放雕像,花瓶等的牆壁凹處,類,凹室是一種壁凹圓屋頂是一種屋頂,凹室,壁櫥,古涼亭,避暑別墅"
alert,"警惕,警戒,警報,警惕的,警覺的,警惕"
alertly,機敏地
alias,"記源于,偏見,因為別名,化名就是怕別人對他的從前產生偏見而起的另一個名字,目的是誤導別人,化名,別名,虛構的名字,例,約翰遜,又稱約翰,根另外,其他的,作為作為其他的名字化名,類,綽號用來貶低別名用來誤導,別名,化名"
alibi,"某人當時不在犯罪現場的申辯或証明,被告人試圖以此証明他在犯罪發生之時在其它地方,借口,托辭,為逃避指責或証明行為正當而提出的解釋,例,你能証明不在犯罪現場嗎,為遲到找到一個借口根其他,存在其他存在不在現場,拉丁文"
alienate,"疏遠,離間,挑撥,使不和,讓渡,轉讓,沒收"
align,"排列,排成一行,結盟,使結盟,使成一行"
alike,"相同的,相像的,同樣地,一視同仁地"
alimentary,"記,與,小病,一起記,因為沒有營養的食品,人就會得小病區,營養,讀哎喲,小病,與,基本的,初步的,一起記,因為營養是人類生存的基本條件,飲食的,可提供營養的,例,資助金,食物的,營養的"
alkali,"記這個單詞很難在中英文之間建立聯系發音有點兒象,可憐,這與,鹼,有關系呀但是我發現一般撿,鹼,來的孩子都比較可憐只能這麼記了,鹼,例,抗鹼的,耐鹼的,化鹼,鹼性的"
all,"整個的,全部的,所有的,大家,全體,所有的人或物,完全,都"
allay,"減輕,使平靜,類"
allegations,"斷言,申述,辯解,主張"
allege,"斷言,聲稱,指控,主張,陳述,為,辯護,是,理由"
allegiance--0,"忠誠,忠貞,記法對法律,忠貞"
allegory--0,"記,全是腿理解寓言一種短小的故事,用來表示啟發的觀點,利用說話或有人的行為的動物為角色,所以寓言中的主人公沒有手,只有腳全是腿,寓言,諷喻,區,宣稱,斷言,用詞性區分,忠貞,效忠,以,讀死,結尾,誓死效忠,以結尾寓言,寓言"
allele,"等位基因,基因等位"
allergic,"過敏的,患過敏症的,極討厭的"
allergy,"敏感症,反感,厭惡"
alleviate--0,"緩和,減輕,使痛苦等更易于忍受,例,熱常常能減緩疼痛參,輕率,舉起,升高"
alley--0,"名詞,小巷,後街"
allocate,"撥出,經費,配給,分配"
allotted,"專款的,撥出的,指定的"
allow,"允許,同意給予,承認,考慮,體諒,容許"
allowance,"允許,考慮,津貼,餘地,體諒,限額,限量,折扣"
allowing,"允許,同意給予,承認,考慮,體諒,容許"
alloy--0,"合金,兩種或多種金屬的混合物,混合物例,黃銅是銅和鋅的合金,鋁合金區躺減輕象鋼圈合金曲裡拐彎的胡同,純粹的,類,摻雜降低純度使稀薄降低密度"
allude,"暗指,扮演,演某齣戲暗指"
allure,"引誘,吸引魅力,誘惑力,引誘"
alluring,"記來自動詞,引誘,本身是一個單詞誘餌,吸引人的,迷人的,類,狡猾的人能逃避迷人的人能誘惑,迷人的,吸引人的,誘惑的"
allusion--0,"暗示,間接提到,引述,典故"
allusive--0,"影射的,暗指的,間接提到的,引用典故的,她的音樂作品詼諧,諷刺,富含典故"
ally,"動詞,使結盟,使聯姻,名詞,同盟國,同盟者"
aloft,"在空中,在頭頂上"
alone,"單獨地,獨自,只,只有,單獨,獨一無二"
along,"副詞,向前,一起,帶著,來到,去到,介系詞,沿著"
aloof,"疏遠的,冷淡的,遠離,離開,魯夫離開家鄉疏遠的,冷淡的"
